t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
5.800108,0.045491,5.376245,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.900112,0.046273,5.405611,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.000112,0.047055,5.425188,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.100112,0.047837,5.474125,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.200112,0.048619,5.483913,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.300116,0.049400,5.474125,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.400116,0.050182,5.454551,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.500116,0.050963,5.493700,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.600116,0.051744,5.542633,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.700116,0.052525,5.542633,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.800120,0.053307,5.552418,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.900120,0.054087,5.542633,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.000120,0.054868,5.562205,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.100124,0.055649,5.562205,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.200124,0.056429,5.601347,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.300124,0.057209,5.601347,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.400128,0.057990,5.640488,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.500128,0.058770,5.620918,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.600128,0.059550,5.620918,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.700132,0.060329,5.660057,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.800136,0.061109,5.679626,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.900140,0.061888,5.679626,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.000141,0.062668,5.699195,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.100140,0.063447,5.669842,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.200140,0.064226,5.699195,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.300141,0.065005,5.699195,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.400144,0.065783,5.748115,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.500144,0.066562,5.748115,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.600145,0.067340,5.708979,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.700148,0.068118,5.738331,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.800152,0.068896,5.748115,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.900156,0.069674,5.787250,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
9.000157,0.070452,5.797033,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.100156,0.071229,5.816600,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
