t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
5.100080,0.040013,3.943614,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.200084,0.040796,3.973149,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.300088,0.041579,4.032204,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.400088,0.042361,4.032204,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.500092,0.043144,4.061724,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.600096,0.043926,4.032204,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.700096,0.044709,4.061724,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.800104,0.045491,4.091238,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100008,6.000000
5.900104,0.046273,4.140419,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.000108,0.047055,4.150253,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.100112,0.047837,4.169920,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.200112,0.048619,4.160087,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.300116,0.049400,4.169920,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.400120,0.050182,4.189586,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.500124,0.050963,4.228909,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.600124,0.051744,4.238739,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.700128,0.052526,4.278053,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.800128,0.053307,4.248569,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.900128,0.054087,4.307533,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.000132,0.054868,4.337009,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.100132,0.055649,4.356657,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.200136,0.056429,4.376303,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.300140,0.057210,4.366480,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.400140,0.057990,4.356657,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.500140,0.058770,4.395947,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.600140,0.059550,4.425410,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.700140,0.060329,4.445050,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.800140,0.061109,4.454869,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.900140,0.061888,4.454869,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.000144,0.062668,4.474506,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.100145,0.063447,4.474506,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.200148,0.064226,4.513774,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.300152,0.065005,4.533406,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.400156,0.065783,4.533406,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.500161,0.066562,4.533406,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.600165,0.067340,4.543221,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.700164,0.068118,4.592291,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.800168,0.068896,4.592291,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.900169,0.069674,4.621728,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.000172,0.070452,4.582478,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
