t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
8.000124,0.100004,5.816600,0.350000,5.816600,4.000000,4.000000,6.000000
8.100125,0.100000,5.855733,0.350000,5.855733,4.000000,4.000000,6.000000
8.200128,0.100004,5.865516,0.350000,5.865516,4.000000,4.000000,6.000000
8.300128,0.100000,5.865516,0.350000,5.865516,4.000000,4.000000,6.000000
8.400129,0.100000,5.865516,0.350000,5.865516,4.000000,4.000000,6.000000
8.500132,0.100004,5.875299,0.350000,5.875299,4.000000,4.000000,6.000000
8.600136,0.100004,5.865516,0.350000,5.865516,4.000000,4.000000,6.000000
8.700140,0.100004,5.894865,0.350000,5.894865,4.000000,4.000000,6.000000
8.800141,0.100000,5.914431,0.350000,5.914431,4.000000,4.000000,6.000000
8.900140,0.100000,5.914431,0.350000,5.914431,4.000000,4.000000,6.000000
9.000141,0.100000,5.904647,0.350000,5.904647,4.000000,4.000000,6.000000
9.100140,0.100000,5.885082,0.350000,5.885082,4.000000,4.000000,6.000000
9.200144,0.100004,5.924213,0.350000,5.924213,4.000000,4.000000,6.000000
9.300148,0.100004,5.914431,0.350000,5.914431,4.000000,4.000000,6.000000
9.400153,0.100004,5.933996,0.350000,5.933996,4.000000,4.000000,6.000000
9.500152,0.100000,5.953561,0.350000,5.953561,4.000000,4.000000,6.000000
9.600156,0.100004,5.924213,0.350000,5.924213,4.000000,4.000000,6.000000
9.700160,0.100004,5.943779,0.350000,5.943779,4.000000,4.000000,6.000000
9.800161,0.100000,5.943779,0.350000,5.943779,4.000000,4.000000,6.000000
9.900160,0.100000,5.973127,0.350000,5.973127,4.000000,4.000000,6.000000
10.000164,0.100004,5.973127,0.350000,5.973127,4.000000,4.000000,6.000000
10.100165,0.100000,5.973127,0.350000,5.973127,4.000000,4.000000,6.000000
10.200164,0.100000,5.933996,0.350000,5.933996,4.000000,4.000000,6.000000
10.300168,0.100004,5.963345,0.350000,5.963345,4.000000,4.000000,6.000000
10.400173,0.100004,6.012258,0.350000,6.012258,4.000000,4.000000,6.000000
10.500177,0.100004,5.992692,0.350000,5.992692,4.000000,4.000000,6.000000
10.600176,0.100000,6.002475,0.350000,6.002475,4.000000,4.000000,6.000000
10.700181,0.100004,6.022040,0.350000,6.022040,4.000000,4.000000,6.000000
10.800185,0.100004,5.973127,0.350000,5.973127,4.000000,4.000000,6.000000
10.900189,0.100004,5.982910,0.350000,5.982910,4.000000,4.000000,6.000000
11.000188,0.100000,6.031823,0.350000,6.031823,4.000000,4.000000,6.000000
11.100189,0.100000,6.022040,0.350000,6.022040,4.000000,4.000000,6.000000
11.200188,0.100000,6.022040,0.350000,6.022040,4.000000,4.000000,6.000000
11.300189,0.100000,5.982910,0.350000,5.982910,4.000000,4.000000,6.000000
11.400193,0.100004,5.982910,0.350000,5.982910,4.000000,4.000000,6.000000
11.500197,0.100004,6.022040,0.350000,6.022040,4.000000,4.000000,6.000000
11.600196,0.100000,6.012258,0.350000,6.012258,4.000000,4.000000,6.000000
