t,r,y,ym,u,t1,t2,t3,ypb
20.65,0.1593556,6.137515,0,3,0,0,0,0
20.85,0.1608437,6.144748,0,3,0,0,0,0
21.05,0.1623302,6.157769,0,3,0,0,0,0
21.25,0.1638151,6.149088,0,3,0,0,0,0
21.45,0.1652984,6.162471,0,3,0,0,0,0
21.65,0.1667801,6.154152,0,3,0,0,0,0
21.85,0.1682601,6.170428,0,3,0,0,0,0
22.05,0.1697384,6.16862,0,3,0,0,0,0
22.25,0.1712151,6.155599,0,3,0,0,0,0
22.45,0.1726901,6.163194,0,3,0,0,0,0
22.65,0.1741633,6.163918,0,3,0,0,0,0
22.85,0.1756349,6.163556,0,3,0,0,0,0
23.05,0.1771047,6.172598,0,3,0,0,0,0
23.25,0.1785728,6.169343,0,3,0,0,0,0
23.451,0.1800465,6.176939,0,3,0,0,0,0
23.65,0.1815037,6.179832,0,3,0,0,0,0
23.85,0.1829664,6.162471,0,3,0,0,0,0
24.05,0.1844274,6.174407,0,3,0,0,0,0
24.25,0.1858865,6.179109,0,3,0,0,0,0
24.45,0.1873438,6.179832,0,3,0,0,0,0
24.65,0.1887992,6.179832,0,3,0,0,0,0
24.85,0.1902528,6.173683,0,3,0,0,0,0
25.051,0.1917117,6.169705,0,3,0,0,0,0
25.25,0.1931543,6.178024,0,3,0,0,0,0
25.45,0.1946022,6.174768,0,3,0,0,0,0
25.65,0.1960482,6.193938,0,3,0,0,0,0
25.85,0.1974922,6.175492,0,3,0,0,0,0
26.05,0.1989343,6.176577,0,3,0,0,0,0
26.25,0.2003744,6.186704,0,3,0,0,0,0
26.45,0.2018126,6.188513,0,3,0,0,0,0
26.65,0.2032488,6.191768,0,3,0,0,0,0
26.85,0.2046829,6.196108,0,3,0,0,0,0
27.05,0.206115,6.193938,0,3,0,0,0,0
27.25,0.2075451,6.187066,0,3,0,0,0,0
27.45,0.2089732,6.199002,0,3,0,0,0,0
27.65,0.2103992,6.185257,0,3,0,0,0,0
27.85,0.2118231,6.194661,0,3,0,0,0,0
28.05,0.2132449,6.20515,0,3,0,0,0,0
28.25,0.2146646,6.198278,0,3,0,0,0,0
28.45,0.2160822,6.210938,0,3,0,0,0,0
28.65,0.2174977,6.208767,0,3,0,0,0,0
28.85,0.218911,6.204065,0,3,0,0,0,0
29.05,0.2203222,6.188874,0,3,0,0,0,0
29.25,0.2217312,6.203342,0,3,0,0,0,0
29.451,0.223145,6.205512,0,3,0,0,0,0
29.65,0.2245426,6.209129,0,3,0,0,0,0
29.85,0.225945,6.185981,0,3,0,0,0,0
30.05,0.2273451,6.195023,0,3,0,0,0,0
30.25,0.228743,6.193938,0,3,0,0,0,0
30.45,0.2301386,6.203342,0,3,0,0,0,0
30.65,0.231532,6.192491,0,3,0,0,0,0
30.85,0.2329231,6.179832,0,3,0,0,0,0
31.051,0.2343189,6.180917,0,3,0,0,0,0
31.25,0.2356984,6.188874,0,3,0,0,0,0
31.45,0.2370825,6.188151,0,3,0,0,0,0
31.65,0.2384644,6.193214,0,3,0,0,0,0
31.85,0.2398438,6.210214,0,3,0,0,0,0
32.051,0.2412278,6.192853,0,3,0,0,0,0
32.25,0.2425956,6.206597,0,3,0,0,0,0
32.45,0.2439679,6.183811,0,3,0,0,0,0
32.65,0.2453378,6.201172,0,3,0,0,0,0
32.85,0.2467053,6.204789,0,3,0,0,0,0
33.05,0.2480704,6.204427,0,3,0,0,0,0
33.25,0.249433,6.195746,0,3,0,0,0,0
33.45,0.2507931,6.195746,0,3,0,0,0,0
33.65,0.2521508,6.195385,0,3,0,0,0,0
33.85,0.253506,6.204789,0,3,0,0,0,0
34.05,0.2548587,6.197917,0,3,0,0,0,0
34.25,0.2562088,6.205512,0,3,0,0,0,0
34.45,0.2575565,6.211299,0,3,0,0,0,0
34.65,0.2589016,6.208405,0,3,0,0,0,0
34.85,0.2602441,6.192491,0,3,0,0,0,0
35.05,0.261584,6.1943,0,3,0,0,0,0
35.25,0.2629215,6.199002,0,3,0,0,0,0
35.45,0.2642562,6.205512,0,3,0,0,0,0
35.649,0.2655818,6.196108,0,3,0,0,0,0
35.851,0.2669246,6.201172,0,3,0,0,0,0
36.05,0.2682449,6.201172,0,3,0,0,0,0
36.25,0.2695692,6.204427,0,3,0,0,0,0
36.45,0.2708908,6.207321,0,3,0,0,0,0
36.65,0.2722098,6.199363,0,3,0,0,0,0
36.851,0.2735326,6.208044,0,3,0,0,0,0
37.05,0.2748396,6.21564,0,3,0,0,0,0
37.25,0.2761504,6.209491,0,3,0,0,0,0
37.45,0.2774585,6.223235,0,3,0,0,0,0
37.65,0.2787639,6.221426,0,3,0,0,0,0
37.85,0.2800665,6.219256,0,3,0,0,0,0
