t,r,y_raw,y_avg,ym,e,e_ad,u,theta1,theta2,theta3,y_pb,Ts,vent
4.000052,0.031396,4.081401,4.038351,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
4.100056,0.032180,4.120748,4.055571,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
4.200060,0.032963,4.140419,4.074018,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
4.300060,0.033747,4.169920,4.088773,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
4.400060,0.034530,4.160087,4.103528,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
4.500064,0.035314,4.179753,4.119512,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
4.600068,0.036097,4.238739,4.144099,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
4.700068,0.036881,4.238739,4.166226,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
4.800068,0.037664,4.248569,4.187122,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
4.900072,0.038447,4.228909,4.200642,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.000076,0.039230,4.268226,4.216618,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.100080,0.040013,4.278053,4.230134,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.200084,0.040796,4.327184,4.251022,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.300088,0.041579,4.317359,4.268222,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
5.400088,0.042361,4.346833,4.281734,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.500088,0.043144,4.346833,4.295246,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.600088,0.043926,4.366480,4.309985,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.700088,0.044709,4.346833,4.324726,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.800088,0.045491,4.395947,4.340691,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
5.900092,0.046273,4.425410,4.359110,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.000092,0.047055,4.445050,4.373844,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.100092,0.047837,4.435230,4.388577,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.200096,0.048618,4.445050,4.400855,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.300100,0.049400,4.474506,4.416813,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.400104,0.050182,4.494141,4.432771,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
6.500104,0.050963,4.513774,4.453639,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.600104,0.051744,4.494141,4.465913,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.700104,0.052525,4.503958,4.475731,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.800104,0.053306,4.533406,4.486776,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
6.900108,0.054087,4.582478,4.505182,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.000108,0.054868,4.592291,4.523587,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.100108,0.055649,4.592291,4.538310,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.200112,0.056429,4.592291,4.550579,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.300116,0.057209,4.592291,4.560393,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.400120,0.057990,4.611916,4.575115,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.500124,0.058770,4.660971,4.594742,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.600124,0.059550,4.670781,4.611914,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
7.700128,0.060329,4.680591,4.624178,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.800132,0.061109,4.680591,4.635216,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
7.900132,0.061888,4.670781,4.645026,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.000137,0.062668,4.690400,4.657290,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.100136,0.063447,4.739439,4.675683,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.200140,0.064226,4.739439,4.691624,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.300141,0.065005,4.749247,4.702659,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.400144,0.065783,4.739439,4.711241,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.500144,0.066562,4.749247,4.719823,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.600145,0.067340,4.768859,4.730856,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
8.700148,0.068118,4.798275,4.746793,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.800152,0.068896,4.808080,4.761503,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
8.900153,0.069674,4.798275,4.768857,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.000152,0.070452,4.808080,4.777438,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.100152,0.071229,4.817884,4.786017,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
9.200157,0.072007,4.847295,4.799499,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
