t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
5.845,0,6.3412,0.5289681,3.746383,0,0,-9.036385,0,0,1,1.48,2.77,6
5.946,0,6.3412,0.5479468,3.742766,0,0,-9.171222,0,0,1,1.48,2.77,6
6.046,0,6.3412,0.5671272,3.738426,0,0,-9.300776,0,0,1,1.48,2.77,6
6.146,0,6.3412,0.5865033,3.737702,0,0,-9.442369,0,0,1,1.48,2.77,6
6.245,0,6.3412,0.6060692,3.734447,0,0,-9.571668,0,0,1,1.48,2.77,6
6.346,0,6.3412,0.6258193,3.727937,0,0,-9.685613,0,0,1,1.48,2.77,6
6.446,0,6.3412,0.645748,3.726852,0,0,-9.818706,0,0,1,1.48,2.77,6
6.546,0,6.3412,0.6658496,3.726128,0,0,-9.951084,0,0,1,1.48,2.77,6
6.646,0,6.3412,0.6861187,3.717448,0,0,-10.0495,0,0,1,1.48,2.77,6
6.745,0,6.3412,0.7065499,3.712023,0,0,-10.15827,0,0,1,1.48,2.77,6
6.846,0,6.3412,0.7271381,3.720341,0,0,-10.31958,0,0,1,1.48,2.77,6
6.946,0,6.3412,0.747878,3.717809,0,0,-10.43601,0,0,1,1.48,2.77,6
7.046,0,6.3412,0.7687644,3.710938,0,0,-10.53288,0,0,1,1.48,2.77,6
7.146,0,6.3412,0.7897925,3.712023,0,0,-10.65906,0,0,1,1.48,2.77,6
7.246,0,6.3412,0.8109573,3.708405,0,0,-10.76448,0,0,1,1.48,2.77,6
7.346,0,6.3412,0.8322539,3.706959,0,0,-10.87633,0,0,1,1.48,2.77,6
7.445,0,6.3412,0.8536775,3.701172,0,0,-10.96872,0,0,1,1.48,2.77,6
7.546,0,6.3412,0.8752236,3.69864,0,0,-11.07173,0,0,1,1.48,2.77,6
7.646,0,6.3412,0.8968875,3.69864,0,0,-11.18272,0,0,1,1.48,2.77,6
7.746,0,6.3412,0.9186648,3.69647,0,0,-11.28305,0,0,1,1.48,2.77,6
7.845,0,6.3412,0.9405509,3.694661,0,0,-11.38272,0,0,1,1.48,2.77,6
7.946,0,6.3412,0.9625416,3.686704,0,0,-11.45571,0,0,1,1.48,2.77,6
8.046,0,6.3412,0.9846325,3.684896,0,0,-11.55081,0,0,1,1.48,2.77,6
8.146,0,6.3412,1.006819,3.685981,0,0,-11.65542,0,0,1,1.48,2.77,6
8.246,0,6.3412,1.029098,3.684896,0,0,-11.7495,0,0,1,1.48,2.77,6
8.346,0,6.3412,1.051465,3.684896,0,0,-11.84594,0,0,1,1.48,2.77,6
8.445,0,6.3412,1.073916,3.680194,0,0,-11.92167,0,0,1,1.48,2.77,6
8.546,0,6.3412,1.096446,3.683811,0,0,-12.02846,0,0,1,1.48,2.77,6
8.646,0,6.3412,1.119053,3.675492,0,0,-12.08587,0,0,1,1.48,2.77,6
8.746,0,6.3412,1.141732,3.678747,0,0,-12.18713,0,0,1,1.48,2.77,6
8.846,0,6.3412,1.16448,3.675492,0,0,-12.2607,0,0,1,1.48,2.77,6
8.946,0,6.3412,1.187292,3.676939,0,0,-12.35101,0,0,1,1.48,2.77,6
9.046,0,6.3412,1.210166,3.668981,0,0,-12.40196,0,0,1,1.48,2.77,6
9.146,0,6.3412,1.233098,3.663194,0,0,-12.4592,0,0,1,1.48,2.77,6
9.246,0,6.3412,1.256085,3.663556,0,0,-12.53881,0,0,1,1.48,2.77,6
9.346,0,6.3412,1.279122,3.662471,0,0,-12.61084,0,0,1,1.48,2.77,6
9.445,0,6.3412,1.302208,3.663194,0,0,-12.68823,0,0,1,1.48,2.77,6
9.546,0,6.3412,1.325338,3.661386,0,0,-12.75375,0,0,1,1.48,2.77,6
9.646,0,6.3412,1.348509,3.65379,0,0,-12.7942,0,0,1,1.48,2.77,6
9.746,0,6.3412,1.371718,3.65162,0,0,-12.85406,0,0,1,1.48,2.77,6
9.845,0,6.3412,1.394962,3.65379,0,0,-12.92935,0,0,1,1.48,2.77,6
9.946,0,6.3412,1.418239,3.65379,0,0,-12.99436,0,0,1,1.48,2.77,6
10.046,0,6.3412,1.441544,3.65379,0,0,-13.05763,0,0,1,1.48,2.77,6
10.146,0,6.3412,1.464876,3.650535,0,0,-13.10614,0,0,1,1.48,2.77,6
10.246,0,6.3412,1.488231,3.650535,0,0,-13.16572,0,0,1,1.48,2.77,6
10.346,0,6.3412,1.511606,3.651259,0,0,-13.22647,0,0,1,1.48,2.77,6
10.446,0,6.3412,1.535,3.649812,0,0,-13.27688,0,0,1,1.48,2.77,6
10.546,0,6.3412,1.558408,3.645472,0,0,-13.31393,0,0,1,1.48,2.77,6
10.645,0,6.3412,1.581829,3.641493,0,0,-13.35042,0,0,1,1.48,2.77,6
10.746,0,6.3412,1.60526,3.642216,0,0,-13.40377,0,0,1,1.48,2.77,6
10.846,0,6.3412,1.628698,3.650174,0,0,-13.48443,0,0,1,1.48,2.77,6
10.946,0,6.3412,1.652141,3.643301,0,0,-13.50468,0,0,1,1.48,2.77,6
11.046,0,6.3412,1.675586,3.637876,0,0,-13.52857,0,0,1,1.48,2.77,6
11.146,0,6.3412,1.699031,3.633898,0,0,-13.55624,0,0,1,1.48,2.77,6
11.245,0,6.3412,1.722474,3.633898,0,0,-13.59791,0,0,1,1.48,2.77,6
11.346,0,6.3412,1.745913,3.634983,0,0,-13.64229,0,0,1,1.48,2.77,6
11.446,0,6.3412,1.769344,3.629195,0,0,-13.65766,0,0,1,1.48,2.77,6
11.546,0,6.3412,1.792767,3.620515,0,0,-13.65943,0,0,1,1.48,2.77,6
11.646,0,6.3412,1.816178,3.629919,0,0,-13.73135,0,0,1,1.48,2.77,6
11.746,0,6.3412,1.839575,3.627749,0,0,-13.75604,0,0,1,1.48,2.77,6
11.845,0,6.3412,1.862958,3.625579,0,0,-13.779,0,0,1,1.48,2.77,6
11.946,0,6.3412,1.886322,3.631366,0,0,-13.83208,0,0,1,1.48,2.77,6
12.046,0,6.3412,1.909668,3.624132,0,0,-13.83191,0,0,1,1.48,2.77,6
12.146,0,6.3412,1.932991,3.623047,0,0,-13.85429,0,0,1,1.48,2.77,6
12.246,0,6.3412,1.956292,3.613643,0,0,-13.84177,0,0,1,1.48,2.77,6
12.346,0,6.3412,1.979567,3.614005,0,0,-13.86613,0,0,1,1.48,2.77,6
12.446,0,6.3412,2.002815,3.615451,0,0,-13.89334,0,0,1,1.48,2.77,6
12.546,0,6.3412,2.026035,3.61726,0,0,-13.92058,0,0,1,1.48,2.77,6
