t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
110.746,0,6.3412,6.339953,6.178747,6.170403,3.335757,0,3.335757,3.730418,0,1.84,3.58,6
110.845,0,6.3412,6.339964,6.159216,6.170403,3.404144,0,3.404144,3.730418,0,1.84,3.58,6
110.946,0,6.3412,6.339976,6.157407,6.170403,3.412677,0,3.412677,3.730418,0,1.84,3.58,6
111.045,0,6.3412,6.339987,6.172236,6.170403,3.36198,0,3.36198,3.730418,0,1.84,3.58,6
111.146,0,6.3412,6.339998,6.179471,6.170403,3.335745,0,3.335745,3.730418,0,1.84,3.58,6
111.246,0,6.3412,6.340009,6.173683,6.170403,3.354795,0,3.354795,3.730418,0,1.84,3.58,6
111.346,0,6.3412,6.34002,6.168258,6.170403,3.373613,0,3.373613,3.730418,0,1.84,3.58,6
111.445,0,6.3412,6.340031,6.169343,6.170403,3.370124,0,3.370124,3.730418,0,1.84,3.58,6
111.546,0,6.3412,6.340042,6.172598,6.170403,3.358665,0,3.358665,3.730418,0,1.84,3.58,6
111.646,0,6.3412,6.340052,6.164641,6.170403,3.386749,0,3.386749,3.730418,0,1.84,3.58,6
111.746,0,6.3412,6.340063,6.1773,6.170403,3.342488,0,3.342488,3.730418,0,1.84,3.58,6
111.846,0,6.3412,6.340073,6.174045,6.170403,3.352873,0,3.352873,3.730418,0,1.84,3.58,6
111.946,0,6.3412,6.340084,6.159577,6.170403,3.403998,0,3.403998,3.730418,0,1.84,3.58,6
112.046,0,6.3412,6.340094,6.165003,6.170403,3.386566,0,3.386566,3.730418,0,1.84,3.58,6
112.146,0,6.3412,6.340104,6.173322,6.170403,3.357779,0,3.357779,3.730418,0,1.84,3.58,6
112.245,0,6.3412,6.340114,6.171513,6.170403,3.363717,0,3.363717,3.730418,0,1.84,3.58,6
112.346,0,6.3412,6.340124,6.181279,6.170403,3.328551,0,3.328551,3.730418,0,1.84,3.58,6
112.445,0,6.3412,6.340134,6.169343,6.170403,3.36928,0,3.36928,3.730418,0,1.84,3.58,6
112.546,0,6.3412,6.340143,6.187066,6.170403,3.306027,0,3.306027,3.730418,0,1.84,3.58,6
112.646,0,6.3412,6.340153,6.178747,6.170403,3.332742,0,3.332742,3.730418,0,1.84,3.58,6
112.746,0,6.3412,6.340163,6.159939,6.170403,3.398539,0,3.398539,3.730418,0,1.84,3.58,6
112.846,0,6.3412,6.340173,6.155961,6.170403,3.414709,0,3.414709,3.730418,0,1.84,3.58,6
112.946,0,6.3412,6.340182,6.176577,6.170403,3.343559,0,3.343559,3.730418,0,1.84,3.58,6
113.046,0,6.3412,6.340191,6.183811,6.170403,3.316527,0,3.316527,3.730418,0,1.84,3.58,6
113.146,0,6.3412,6.3402,6.172236,6.170403,3.355496,0,3.355496,3.730418,0,1.84,3.58,6
113.245,0,6.3412,6.340209,6.165003,6.170403,3.381055,0,3.381055,3.730418,0,1.84,3.58,6
113.346,0,6.3412,6.340219,6.176577,6.170403,3.340612,0,3.340612,3.730418,0,1.84,3.58,6
113.446,0,6.3412,6.340228,6.180917,6.170403,3.323939,0,3.323939,3.730418,0,1.84,3.58,6
113.546,0,6.3412,6.340237,6.173322,6.170403,3.349196,0,3.349196,3.730418,0,1.84,3.58,6
113.646,0,6.3412,6.340246,6.17296,6.170403,3.349955,0,3.349955,3.730418,0,1.84,3.58,6
113.746,0,6.3412,6.340254,6.170428,6.170403,3.358548,0,3.358548,3.730418,0,1.84,3.58,6
113.846,0,6.3412,6.340263,6.167535,6.170403,3.368902,0,3.368902,3.730418,0,1.84,3.58,6
113.946,0,6.3412,6.340271,6.17513,6.170403,3.342239,0,3.342239,3.730418,0,1.84,3.58,6
114.046,0,6.3412,6.34028,6.178385,6.170403,3.329715,0,3.329715,3.730418,0,1.84,3.58,6
114.146,0,6.3412,6.340289,6.163556,6.170403,3.381335,0,3.381335,3.730418,0,1.84,3.58,6
114.246,0,6.3412,6.340297,6.186704,6.170403,3.299725,0,3.299725,3.730418,0,1.84,3.58,6
114.346,0,6.3412,6.340306,6.174407,6.170403,3.340751,0,3.340751,3.730418,0,1.84,3.58,6
114.446,0,6.3412,6.340313,6.171875,6.170403,3.349077,0,3.349077,3.730418,0,1.84,3.58,6
114.546,0,6.3412,6.340322,6.166811,6.170403,3.366934,0,3.366934,3.730418,0,1.84,3.58,6
114.646,0,6.3412,6.34033,6.1773,6.170403,3.330044,0,3.330044,3.730418,0,1.84,3.58,6
114.745,0,6.3412,6.340337,6.17513,6.170403,3.336546,0,3.336546,3.730418,0,1.84,3.58,6
114.846,0,6.3412,6.340345,6.181279,6.170403,3.313663,0,3.313663,3.730418,0,1.84,3.58,6
114.945,0,6.3412,6.340353,6.178747,6.170403,3.320725,0,3.320725,3.730418,0,1.84,3.58,6
115.046,0,6.3412,6.340361,6.184896,6.170403,3.297179,0,3.297179,3.730418,0,1.84,3.58,6
115.146,0,6.3412,6.340369,6.182364,6.170403,3.303576,0,3.303576,3.730418,0,1.84,3.58,6
115.246,0,6.3412,6.340377,6.180917,6.170403,3.306554,0,3.306554,3.730418,0,1.84,3.58,6
115.346,0,6.3412,6.340384,6.187428,6.170403,3.281313,0,3.281313,3.730418,0,1.84,3.58,6
115.446,0,6.3412,6.340392,6.176215,6.170403,3.318321,0,3.318321,3.730418,0,1.84,3.58,6
115.546,0,6.3412,6.340399,6.19213,6.170403,3.260277,0,3.260277,3.730418,0,1.84,3.58,6
115.646,0,6.3412,6.340406,6.200449,6.170403,3.226498,0,3.226498,3.730418,0,1.84,3.58,6
115.746,0,6.3412,6.340414,6.178385,6.170403,3.299956,0,3.299956,3.730418,0,1.84,3.58,6
115.846,0,6.3412,6.340421,6.169705,6.170403,3.329563,0,3.329563,3.730418,0,1.84,3.58,6
115.946,0,6.3412,6.340428,6.179471,6.170403,3.294731,0,3.294731,3.730418,0,1.84,3.58,6
116.046,0,6.3412,6.340436,6.167896,6.170403,3.334498,0,3.334498,3.730418,0,1.84,3.58,6
116.146,0,6.3412,6.340443,6.167173,6.170403,3.337549,0,3.337549,3.730418,0,1.84,3.58,6
116.246,0,6.3412,6.34045,6.180555,6.170403,3.290235,0,3.290235,3.730418,0,1.84,3.58,6
116.346,0,6.3412,6.340456,6.178747,6.170403,3.29484,0,3.29484,3.730418,0,1.84,3.58,6
116.446,0,6.3412,6.340463,6.176215,6.170403,3.302369,0,3.302369,3.730418,0,1.84,3.58,6
116.546,0,6.3412,6.34047,6.174407,6.170403,3.307775,0,3.307775,3.730418,0,1.84,3.58,6
116.646,0,6.3412,6.340477,6.187066,6.170403,3.261717,0,3.261717,3.730418,0,1.84,3.58,6
116.746,0,6.3412,6.340483,6.186343,6.170403,3.261241,0,3.261241,3.730418,0,1.84,3.58,6
116.845,0,6.3412,6.34049,6.183811,6.170403,3.267373,0,3.267373,3.730418,0,1.84,3.58,6
116.946,0,6.3412,6.340497,6.166088,6.170403,3.328354,0,3.328354,3.730418,0,1.84,3.58,6
117.046,0,6.3412,6.340503,6.175492,6.170403,3.295481,0,3.295481,3.730418,0,1.84,3.58,6
117.146,0,6.3412,6.34051,6.178385,6.170403,3.284187,0,3.284187,3.730418,0,1.84,3.58,6
117.246,0,6.3412,6.340516,6.164641,6.170403,3.331923,0,3.331923,3.730418,0,1.84,3.58,6
117.346,0,6.3412,6.340522,6.188513,6.170403,3.247522,0,3.247522,3.730418,0,1.84,3.58,6
117.445,0,6.3412,6.340528,6.183811,6.170403,3.261023,0,3.261023,3.730418,0,1.84,3.58,6
117.546,0,6.3412,6.340535,6.167173,6.170403,3.31812,0,3.31812,3.730418,0,1.84,3.58,6
117.646,0,6.3412,6.34054,6.192491,6.170403,3.228075,0,3.228075,3.730418,0,1.84,3.58,6
117.746,0,6.3412,6.340547,6.196108,6.170403,3.211061,0,3.211061,3.730418,0,1.84,3.58,6
117.845,0,6.3412,6.340553,6.165003,6.170403,3.317689,0,3.317689,3.730418,0,1.84,3.58,6
117.946,0,6.3412,6.340559,6.165726,6.170403,3.316093,0,3.316093,3.730418,0,1.84,3.58,6
118.046,0,6.3412,6.340565,6.190321,6.170403,3.228904,0,3.228904,3.730418,0,1.84,3.58,6
118.146,0,6.3412,6.340571,6.17513,6.170403,3.279624,0,3.279624,3.730418,0,1.84,3.58,6
118.246,0,6.3412,6.340577,6.179109,6.170403,3.26451,0,3.26451,3.730418,0,1.84,3.58,6
118.346,0,6.3412,6.340583,6.177662,6.170403,3.268088,0,3.268088,3.730418,0,1.84,3.58,6
118.446,0,6.3412,6.340588,6.167173,6.170403,3.304303,0,3.304303,3.730418,0,1.84,3.58,6
118.546,0,6.3412,6.340594,6.186704,6.170403,3.234975,0,3.234975,3.730418,0,1.84,3.58,6
118.646,0,6.3412,6.340599,6.190321,6.170403,3.219028,0,3.219028,3.730418,0,1.84,3.58,6
118.746,0,6.3412,6.340605,6.197555,6.170403,3.189465,0,3.189465,3.730418,0,1.84,3.58,6
118.846,0,6.3412,6.34061,6.185981,6.170403,3.225905,0,3.225905,3.730418,0,1.84,3.58,6
118.945,0,6.3412,6.340616,6.170428,6.170403,3.278717,0,3.278717,3.730418,0,1.84,3.58,6
119.046,0,6.3412,6.340621,6.179471,6.170403,3.246341,0,3.246341,3.730418,0,1.84,3.58,6
119.146,0,6.3412,6.340627,6.166811,6.170403,3.289992,0,3.289992,3.730418,0,1.84,3.58,6
119.246,0,6.3412,6.340632,6.157407,6.170403,3.32432,0,3.32432,3.730418,0,1.84,3.58,6
119.346,0,6.3412,6.340638,6.165364,6.170403,3.298225,0,3.298225,3.730418,0,1.84,3.58,6
119.446,0,6.3412,6.340643,6.171152,6.170403,3.278434,0,3.278434,3.730418,0,1.84,3.58,6
119.546,0,6.3412,6.340648,6.162109,6.170403,3.310667,0,3.310667,3.730418,0,1.84,3.58,6
119.646,0,6.3412,6.340653,6.176215,6.170403,3.261695,0,3.261695,3.730418,0,1.84,3.58,6
119.745,0,6.3412,6.340658,6.177662,6.170403,3.255446,0,3.255446,3.730418,0,1.84,3.58,6
119.845,0,6.3412,6.340662,6.174768,6.170403,3.264469,0,3.264469,3.730418,0,1.84,3.58,6
119.946,0,6.3412,6.340668,6.165003,6.170403,3.298627,0,3.298627,3.730418,0,1.84,3.58,6
120.045,0,6.3412,6.340672,6.178385,6.170403,3.251711,0,3.251711,3.730418,0,1.84,3.58,6
120.145,0,6.3412,6.340677,6.180917,6.170403,3.241178,0,3.241178,3.730418,0,1.84,3.58,6
120.246,0,6.3412,6.340682,6.175492,6.170403,3.258667,0,3.258667,3.730418,0,1.84,3.58,6
120.346,0,6.3412,6.340687,6.164641,6.170403,3.296577,0,3.296577,3.730418,0,1.84,3.58,6
120.446,0,6.3412,6.340692,6.163918,6.170403,3.300226,0,3.300226,3.730418,0,1.84,3.58,6
120.546,0,6.3412,6.340697,6.156684,6.170403,3.327317,0,3.327317,3.730418,0,1.84,3.58,6
120.646,0,6.3412,6.340702,6.173322,6.170403,3.270278,0,3.270278,3.730418,0,1.84,3.58,6
120.746,0,6.3412,6.340707,6.178385,6.170403,3.251613,0,3.251613,3.730418,0,1.84,3.58,6
120.846,0,6.3412,6.340711,6.173683,6.170403,3.266978,0,3.266978,3.730418,0,1.84,3.58,6
120.946,0,6.3412,6.340715,6.16862,6.170403,3.284502,0,3.284502,3.730418,0,1.84,3.58,6
121.046,0,6.3412,6.34072,6.156684,6.170403,3.32756,0,3.32756,3.730418,0,1.84,3.58,6
121.146,0,6.3412,6.340724,6.161386,6.170403,3.313251,0,3.313251,3.730418,0,1.84,3.58,6
121.246,0,6.3412,6.340728,6.172236,6.170403,3.276066,0,3.276066,3.730418,0,1.84,3.58,6
121.346,0,6.3412,6.340732,6.173683,6.170403,3.270549,0,3.270549,3.730418,0,1.84,3.58,6
121.446,0,6.3412,6.340736,6.180917,6.170403,3.244047,0,3.244047,3.730418,0,1.84,3.58,6
121.546,0,6.3412,6.340741,6.177662,6.170403,3.253767,0,3.253767,3.730418,0,1.84,3.58,6
121.646,0,6.3412,6.340745,6.164641,6.170403,3.299047,0,3.299047,3.730418,0,1.84,3.58,6
121.746,0,6.3412,6.340749,6.184172,6.170403,3.230185,0,3.230185,3.730418,0,1.84,3.58,6
121.846,0,6.3412,6.340754,6.174407,6.170403,3.262613,0,3.262613,3.730418,0,1.84,3.58,6
121.945,0,6.3412,6.340758,6.178024,6.170403,3.248926,0,3.248926,3.730418,0,1.84,3.58,6
122.046,0,6.3412,6.340762,6.165726,6.170403,3.291549,0,3.291549,3.730418,0,1.84,3.58,6
122.146,0,6.3412,6.340766,6.172236,6.170403,3.269104,0,3.269104,3.730418,0,1.84,3.58,6
122.246,0,6.3412,6.340771,6.179471,6.170403,3.242868,0,3.242868,3.730418,0,1.84,3.58,6
122.345,0,6.3412,6.340775,6.189598,6.170403,3.204945,0,3.204945,3.730418,0,1.84,3.58,6
122.446,0,6.3412,6.340779,6.171152,6.170403,3.26745,0,3.26745,3.730418,0,1.84,3.58,6
122.546,0,6.3412,6.340782,6.159577,6.170403,3.308748,0,3.308748,3.730418,0,1.84,3.58,6
122.646,0,6.3412,6.340786,6.17079,6.170403,3.2706,0,3.2706,3.730418,0,1.84,3.58,6
122.746,0,6.3412,6.34079,6.159216,6.170403,3.311963,0,3.311963,3.730418,0,1.84,3.58,6
122.846,0,6.3412,6.340793,6.176577,6.170403,3.251868,0,3.251868,3.730418,0,1.84,3.58,6
122.946,0,6.3412,6.340797,6.17079,6.170403,3.271451,0,3.271451,3.730418,0,1.84,3.58,6
123.046,0,6.3412,6.340801,6.168982,6.170403,3.277853,0,3.277853,3.730418,0,1.84,3.58,6
123.146,0,6.3412,6.340804,6.187066,6.170403,3.213372,0,3.213372,3.730418,0,1.84,3.58,6
123.245,0,6.3412,6.340808,6.156684,6.170403,3.319075,0,3.319075,3.730418,0,1.84,3.58,6
123.346,0,6.3412,6.340812,6.163556,6.170403,3.296997,0,3.296997,3.730418,0,1.84,3.58,6
123.445,0,6.3412,6.340815,6.153067,6.170403,3.335807,0,3.335807,3.730418,0,1.84,3.58,6
123.546,0,6.3412,6.340819,6.175492,6.170403,3.258717,0,3.258717,3.730418,0,1.84,3.58,6
123.646,0,6.3412,6.340823,6.176577,6.170403,3.253895,0,3.253895,3.730418,0,1.84,3.58,6
123.746,0,6.3412,6.340827,6.173322,6.170403,3.264413,0,3.264413,3.730418,0,1.84,3.58,6
123.846,0,6.3412,6.34083,6.169705,6.170403,3.276824,0,3.276824,3.730418,0,1.84,3.58,6
123.946,0,6.3412,6.340834,6.190321,6.170403,3.203148,0,3.203148,3.730418,0,1.84,3.58,6
124.046,0,6.3412,6.340837,6.1773,6.170403,3.246096,0,3.246096,3.730418,0,1.84,3.58,6
124.145,0,6.3412,6.340841,6.16645,6.170403,3.283674,0,3.283674,3.730418,0,1.84,3.58,6
124.245,0,6.3412,6.340844,6.161024,6.170403,3.303824,0,3.303824,3.730418,0,1.84,3.58,6
124.346,0,6.3412,6.340847,6.172236,6.170403,3.26541,0,3.26541,3.730418,0,1.84,3.58,6
124.446,0,6.3412,6.34085,6.17296,6.170403,3.262483,0,3.262483,3.730418,0,1.84,3.58,6
124.546,0,6.3412,6.340853,6.167535,6.170403,3.281434,0,3.281434,3.730418,0,1.84,3.58,6
124.646,0,6.3412,6.340856,6.17079,6.170403,3.270309,0,3.270309,3.730418,0,1.84,3.58,6
124.746,0,6.3412,6.340859,6.165003,6.170403,3.290955,0,3.290955,3.730418,0,1.84,3.58,6
124.846,0,6.3412,6.340862,6.171152,6.170403,3.269936,0,3.269936,3.730418,0,1.84,3.58,6
124.946,0,6.3412,6.340865,6.17296,6.170403,3.263325,0,3.263325,3.730418,0,1.84,3.58,6
125.046,0,6.3412,6.340868,6.180555,6.170403,3.235663,0,3.235663,3.730418,0,1.84,3.58,6
125.146,0,6.3412,6.340871,6.185619,6.170403,3.215667,0,3.215667,3.730418,0,1.84,3.58,6
125.246,0,6.3412,6.340875,6.161386,6.170403,3.299622,0,3.299622,3.730418,0,1.84,3.58,6
125.345,0,6.3412,6.340878,6.174045,6.170403,3.255961,0,3.255961,3.730418,0,1.84,3.58,6
125.446,0,6.3412,6.34088,6.169705,6.170403,3.270829,0,3.270829,3.730418,0,1.84,3.58,6
125.545,0,6.3412,6.340884,6.171513,6.170403,3.264484,0,3.264484,3.730418,0,1.84,3.58,6
125.646,0,6.3412,6.340887,6.176215,6.170403,3.247447,0,3.247447,3.730418,0,1.84,3.58,6
125.745,0,6.3412,6.34089,6.177662,6.170403,3.241198,0,3.241198,3.730418,0,1.84,3.58,6
125.846,0,6.3412,6.340893,6.163194,6.170403,3.291657,0,3.291657,3.730418,0,1.84,3.58,6
125.946,0,6.3412,6.340896,6.157407,6.170403,3.313701,0,3.313701,3.730418,0,1.84,3.58,6
126.045,0,6.3412,6.340899,6.162109,6.170403,3.299258,0,3.299258,3.730418,0,1.84,3.58,6
126.146,0,6.3412,6.340902,6.17079,6.170403,3.269709,0,3.269709,3.730418,0,1.84,3.58,6
126.246,0,6.3412,6.340905,6.178747,6.170403,3.24115,0,3.24115,3.730418,0,1.84,3.58,6
126.345,0,6.3412,6.340908,6.185257,6.170403,3.216308,0,3.216308,3.730418,0,1.84,3.58,6
126.446,0,6.3412,6.34091,6.163556,6.170403,3.291266,0,3.291266,3.730418,0,1.84,3.58,6
126.546,0,6.3412,6.340913,6.175853,6.170403,3.248502,0,3.248502,3.730418,0,1.84,3.58,6
126.646,0,6.3412,6.340915,6.186704,6.170403,3.208653,0,3.208653,3.730418,0,1.84,3.58,6
126.745,0,6.3412,6.340918,6.179109,6.170403,3.232846,0,3.232846,3.730418,0,1.84,3.58,6
126.846,0,6.3412,6.34092,6.172598,6.170403,3.254551,0,3.254551,3.730418,0,1.84,3.58,6
126.946,0,6.3412,6.340923,6.177662,6.170403,3.236019,0,3.236019,3.730418,0,1.84,3.58,6
127.045,0,6.3412,6.340925,6.16645,6.170403,3.274824,0,3.274824,3.730418,0,1.84,3.58,6
127.145,0,6.3412,6.340928,6.176939,6.170403,3.238001,0,3.238001,3.730418,0,1.84,3.58,6
127.246,0,6.3412,6.34093,6.175492,6.170403,3.241978,0,3.241978,3.730418,0,1.84,3.58,6
127.346,0,6.3412,6.340932,6.183087,6.170403,3.213849,0,3.213849,3.730418,0,1.84,3.58,6
127.446,0,6.3412,6.340935,6.171875,6.170403,3.251656,0,3.251656,3.730418,0,1.84,3.58,6
127.546,0,6.3412,6.340937,6.181279,6.170403,3.21772,0,3.21772,3.730418,0,1.84,3.58,6
127.645,0,6.3412,6.34094,6.177662,6.170403,3.228667,0,3.228667,3.730418,0,1.84,3.58,6
127.746,0,6.3412,6.340942,6.164641,6.170403,3.273947,0,3.273947,3.730418,0,1.84,3.58,6
127.846,0,6.3412,6.340945,6.167535,6.170403,3.264647,0,3.264647,3.730418,0,1.84,3.58,6
127.945,0,6.3412,6.340947,6.174768,6.170403,3.239278,0,3.239278,3.730418,0,1.84,3.58,6
128.046,0,6.3412,6.34095,6.166811,6.170403,3.266961,0,3.266961,3.730418,0,1.84,3.58,6
128.146,0,6.3412,6.340952,6.167535,6.170403,3.265032,0,3.265032,3.730418,0,1.84,3.58,6
128.246,0,6.3412,6.340954,6.168258,6.170403,3.26297,0,3.26297,3.730418,0,1.84,3.58,6
128.346,0,6.3412,6.340957,6.162109,6.170403,3.285378,0,3.285378,3.730418,0,1.84,3.58,6
128.446,0,6.3412,6.34096,6.175853,6.170403,3.237701,0,3.237701,3.730418,0,1.84,3.58,6
128.546,0,6.3412,6.340962,6.165003,6.170403,3.275543,0,3.275543,3.730418,0,1.84,3.58,6
128.646,0,6.3412,6.340964,6.171152,6.170403,3.254524,0,3.254524,3.730418,0,1.84,3.58,6
128.746,0,6.3412,6.340967,6.163918,6.170403,3.280284,0,3.280284,3.730418,0,1.84,3.58,6
128.846,0,6.3412,6.340969,6.17296,6.170403,3.249106,0,3.249106,3.730418,0,1.84,3.58,6
128.946,0,6.3412,6.340971,6.177662,6.170403,3.231802,0,3.231802,3.730418,0,1.84,3.58,6
129.045,0,6.3412,6.340974,6.167535,6.170403,3.266722,0,3.266722,3.730418,0,1.84,3.58,6
129.146,0,6.3412,6.340976,6.179471,6.170403,3.22452,0,3.22452,3.730418,0,1.84,3.58,6
129.246,0,6.3412,6.340978,6.165726,6.170403,3.272056,0,3.272056,3.730418,0,1.84,3.58,6
129.346,0,6.3412,6.34098,6.17296,6.170403,3.24702,0,3.24702,3.730418,0,1.84,3.58,6
129.446,0,6.3412,6.340981,6.171875,6.170403,3.250433,0,3.250433,3.730418,0,1.84,3.58,6
129.546,0,6.3412,6.340983,6.1773,6.170403,3.23074,0,3.23074,3.730418,0,1.84,3.58,6
129.646,0,6.3412,6.340985,6.168258,6.170403,3.261842,0,3.261842,3.730418,0,1.84,3.58,6
129.746,0,6.3412,6.340987,6.176215,6.170403,3.233751,0,3.233751,3.730418,0,1.84,3.58,6
129.846,0,6.3412,6.340989,6.179109,6.170403,3.222323,0,3.222323,3.730418,0,1.84,3.58,6
129.946,0,6.3412,6.340991,6.167896,6.170403,3.260861,0,3.260861,3.730418,0,1.84,3.58,6
130.046,0,6.3412,6.340992,6.172236,6.170403,3.245785,0,3.245785,3.730418,0,1.84,3.58,6
130.146,0,6.3412,6.340994,6.171152,6.170403,3.249331,0,3.249331,3.730418,0,1.84,3.58,6
130.246,0,6.3412,6.340996,6.162109,6.170403,3.281565,0,3.281565,3.730418,0,1.84,3.58,6
130.346,0,6.3412,6.340998,6.165364,6.170403,3.271438,0,3.271438,3.730418,0,1.84,3.58,6
130.445,0,6.3412,6.341,6.164279,6.170403,3.276249,0,3.276249,3.730418,0,1.84,3.58,6
130.546,0,6.3412,6.341002,6.161386,6.170403,3.287735,0,3.287735,3.730418,0,1.84,3.58,6
130.646,0,6.3412,6.341003,6.170428,6.170403,3.257023,0,3.257023,3.730418,0,1.84,3.58,6
130.746,0,6.3412,6.341005,6.163918,6.170403,3.280326,0,3.280326,3.730418,0,1.84,3.58,6
130.846,0,6.3412,6.341007,6.160663,6.170403,3.293172,0,3.293172,3.730418,0,1.84,3.58,6
130.946,0,6.3412,6.341009,6.162833,6.170403,3.287196,0,3.287196,3.730418,0,1.84,3.58,6
131.046,0,6.3412,6.341011,6.171875,6.170403,3.256217,0,3.256217,3.730418,0,1.84,3.58,6
131.146,0,6.3412,6.341012,6.166811,6.170403,3.274074,0,3.274074,3.730418,0,1.84,3.58,6
131.246,0,6.3412,6.341014,6.17079,6.170403,3.260493,0,3.260493,3.730418,0,1.84,3.58,6
131.346,0,6.3412,6.341016,6.173683,6.170403,3.250063,0,3.250063,3.730418,0,1.84,3.58,6
131.446,0,6.3412,6.341018,6.178747,6.170403,3.231331,0,3.231331,3.730418,0,1.84,3.58,6
131.546,0,6.3412,6.34102,6.171513,6.170403,3.255693,0,3.255693,3.730418,0,1.84,3.58,6
131.646,0,6.3412,6.341022,6.174045,6.170403,3.246425,0,3.246425,3.730418,0,1.84,3.58,6
131.746,0,6.3412,6.341023,6.163918,6.170403,3.282011,0,3.282011,3.730418,0,1.84,3.58,6
131.846,0,6.3412,6.341025,6.158493,6.170403,3.302626,0,3.302626,3.730418,0,1.84,3.58,6
131.946,0,6.3412,6.341027,6.155237,6.170403,3.316472,0,3.316472,3.730418,0,1.84,3.58,6
132.046,0,6.3412,6.341029,6.158131,6.170403,3.308904,0,3.308904,3.730418,0,1.84,3.58,6
132.146,0,6.3412,6.341031,6.16645,6.170403,3.281381,0,3.281381,3.730418,0,1.84,3.58,6
132.246,0,6.3412,6.341033,6.163556,6.170403,3.292467,0,3.292467,3.730418,0,1.84,3.58,6
132.346,0,6.3412,6.341034,6.168258,6.170403,3.276893,0,3.276893,3.730418,0,1.84,3.58,6
132.446,0,6.3412,6.341036,6.179471,6.170403,3.237148,0,3.237148,3.730418,0,1.84,3.58,6
132.546,0,6.3412,6.341038,6.179109,6.170403,3.236775,0,3.236775,3.730418,0,1.84,3.58,6
132.646,0,6.3412,6.34104,6.183449,6.170403,3.219635,0,3.219635,3.730418,0,1.84,3.58,6
132.745,0,6.3412,6.341041,6.171513,6.170403,3.259965,0,3.259965,3.730418,0,1.84,3.58,6
132.846,0,6.3412,6.341043,6.17079,6.170403,3.26235,0,3.26235,3.730418,0,1.84,3.58,6
132.946,0,6.3412,6.341043,6.168258,6.170403,3.271342,0,3.271342,3.730418,0,1.84,3.58,6
133.046,0,6.3412,6.341045,6.163194,6.170403,3.289866,0,3.289866,3.730418,0,1.84,3.58,6
133.146,0,6.3412,6.341046,6.161747,6.170403,3.296371,0,3.296371,3.730418,0,1.84,3.58,6
133.246,0,6.3412,6.341047,6.166811,6.170403,3.279835,0,3.279835,3.730418,0,1.84,3.58,6
133.345,0,6.3412,6.341048,6.155599,6.170403,3.320638,0,3.320638,3.730418,0,1.84,3.58,6
133.446,0,6.3412,6.34105,6.157407,6.170403,3.316887,0,3.316887,3.730418,0,1.84,3.58,6
133.546,0,6.3412,6.341051,6.16862,6.170403,3.279138,0,3.279138,3.730418,0,1.84,3.58,6
133.646,0,6.3412,6.341052,6.161386,6.170403,3.305363,0,3.305363,3.730418,0,1.84,3.58,6
133.746,0,6.3412,6.341053,6.165364,6.170403,3.29278,0,3.29278,3.730418,0,1.84,3.58,6
133.845,0,6.3412,6.341054,6.163918,6.170403,3.298886,0,3.298886,3.730418,0,1.84,3.58,6
133.945,0,6.3412,6.341056,6.168982,6.170403,3.281951,0,3.281951,3.730418,0,1.84,3.58,6
134.046,0,6.3412,6.341057,6.159216,6.170403,3.317173,0,3.317173,3.730418,0,1.84,3.58,6
134.146,0,6.3412,6.341058,6.178385,6.170403,3.250606,0,3.250606,3.730418,0,1.84,3.58,6
134.246,0,6.3412,6.341059,6.174768,6.170403,3.262085,0,3.262085,3.730418,0,1.84,3.58,6
134.345,0,6.3412,6.341061,6.167173,6.170403,3.288474,0,3.288474,3.730418,0,1.84,3.58,6
134.445,0,6.3412,6.341062,6.176939,6.170403,3.254107,0,3.254107,3.730418,0,1.84,3.58,6
134.546,0,6.3412,6.341063,6.163194,6.170403,3.30211,0,3.30211,3.730418,0,1.84,3.58,6
134.646,0,6.3412,6.341064,6.157046,6.170403,3.325447,0,3.325447,3.730418,0,1.84,3.58,6
134.745,0,6.3412,6.341065,6.182364,6.170403,3.237266,0,3.237266,3.730418,0,1.84,3.58,6
134.846,0,6.3412,6.341067,6.16645,6.170403,3.292039,0,3.292039,3.730418,0,1.84,3.58,6
134.946,0,6.3412,6.341068,6.171152,6.170403,3.275933,0,3.275933,3.730418,0,1.84,3.58,6
135.046,0,6.3412,6.341069,6.169343,6.170403,3.28227,0,3.28227,3.730418,0,1.84,3.58,6
135.146,0,6.3412,6.341071,6.159216,6.170403,3.318721,0,3.318721,3.730418,0,1.84,3.58,6
135.246,0,6.3412,6.341072,6.157407,6.170403,3.327254,0,3.327254,3.730418,0,1.84,3.58,6
135.346,0,6.3412,6.341073,6.159939,6.170403,3.32058,0,3.32058,3.730418,0,1.84,3.58,6
135.446,0,6.3412,6.341074,6.16862,6.170403,3.29143,0,3.29143,3.730418,0,1.84,3.58,6
135.546,0,6.3412,6.341075,6.169705,6.170403,3.287873,0,3.287873,3.730418,0,1.84,3.58,6
135.646,0,6.3412,6.341076,6.175853,6.170403,3.265991,0,3.265991,3.730418,0,1.84,3.58,6
135.746,0,6.3412,6.341078,6.169343,6.170403,3.288295,0,3.288295,3.730418,0,1.84,3.58,6
135.845,0,6.3412,6.341079,6.178747,6.170403,3.254823,0,3.254823,3.730418,0,1.84,3.58,6
135.946,0,6.3412,6.34108,6.179471,6.170403,3.250698,0,3.250698,3.730418,0,1.84,3.58,6
