time,spir,snimac1,spir_n,snimac1_n
0,4,6.328125,0,-0.208752284509826
0.0999999999999943,4.5,6.357421875,0.5,-0.179469300818413
0.200000000000017,4.5,6.357421875,0.5,-0.179483192127
0.300000000000011,4.5,6.3330078125,0.5,-0.203911145935587
0.400000000000006,4.5,6.3720703125,0.5,-0.164862537244174
0.5,4.5,6.337890625,0.5,-0.199056116052761
0.599999999999994,4.5,6.328125,0.5,-0.208835632361348
0.700000000000017,4.5,6.357421875,0.5,-0.179552648669935
0.800000000000011,4.5,6.376953125,0.5,-0.160035289978522
0.900000000000006,4.5,6.34765625,0.5,-0.189346056287109
1,4.5,6.357421875,0.5,-0.179594322595696
1.09999999999999,4.5,6.357421875,0.5,-0.179608213904283
1.20000000000002,4.5,6.396484375,0.5,-0.14055960521287
1.30000000000001,4.5,6.38671875,0.5,-0.150339121521457
1.40000000000001,4.5,6.3671875,0.5,-0.169884262830044
1.5,4.5,6.3525390625,0.5,-0.184546591638631
1.59999999999999,4.5,6.396484375,0.5,-0.140615170447218
1.70000000000002,4.5,6.357421875,0.5,-0.179691561755805
1.80000000000001,4.5,6.396484375,0.5,-0.140642953064392
1.90000000000001,4.5,6.40625,0.5,-0.130891219372979
2,4.5,6.4111328125,0.5,-0.126022298181566
2.09999999999999,4.5,6.376953125,0.5,-0.160215876990152
2.20000000000002,4.5,6.38671875,0.5,-0.150464143298739
2.30000000000001,4.5,6.337890625,0.5,-0.199306159607326
2.40000000000001,4.5,6.416015625,0.5,-0.121195050915913
2.5,4.5,6.40625,0.5,-0.1309745672245
2.59999999999999,4.5,6.435546875,0.5,-0.101691583533087
2.70000000000002,4.5,6.435546875,0.5,-0.101705474841674
2.80000000000001,4.5,6.38671875,0.5,-0.150547491150261
2.90000000000001,4.5,6.396484375,0.5,-0.140795757458848
3,4.5,6.4501953125,0.5,-0.0870987112674353
3.09999999999999,4.5,6.4453125,0.5,-0.0919954150760223
3.20000000000002,4.5,6.42578125,0.5,-0.111540556384609
3.30000000000001,4.5,6.3916015625,0.5,-0.145734135193196
3.40000000000001,4.5,6.4501953125,0.5,-0.0871542765017832
3.5,4.5,6.416015625,0.5,-0.12134785531037
3.59999999999999,4.5,6.4306640625,0.5,-0.106713309118957
3.70000000000002,4.5,6.4306640625,0.5,-0.106727200427544
3.80000000000001,4.5,6.416015625,0.5,-0.121389529236131
3.90000000000001,4.5,6.4306640625,0.5,-0.106754983044718
4,4.5,6.4208984375,0.5,-0.116534499353305
4.09999999999999,4.5,6.4453125,0.5,-0.092134328161892
4.20000000000002,4.5,6.4697265625,0.5,-0.067734156970479
4.30000000000001,4.5,6.4501953125,0.5,-0.087279298279066
4.40000000000001,4.5,6.4501953125,0.5,-0.087293189587653
