time,y13_data,y23_data,y16_data,y26_data,y19_data,y29_data,y3n_model,y3f_model,y6n_model,y6f_model,y9n_model,y9f_model
0,0,0,0,0,0,0,1.38468880458986e-15,-2.90024081139872e-18,-5.54027310140093e-17,1.16549023036761e-15,-2.40692882291782e-17,-4.78973414749784e-16
0.1,0.0174386160714286,0.00348772321428571,-0.0125558035714286,0.00139508928571429,-0.0048828125,0.00558035714285714,0.00207408236214975,0.0012100018846231,0.00215977428585698,0.00136389096567841,0.00211179511793151,0.00127901576667445
0.2,0.0285993303571429,0.048828125,0,0.0348772321428571,0,0.0383649553571429,0.00792701808359838,0.00491436404302107,0.00815095262232624,0.00540359630202572,0.00813945543550112,0.00509847778171017
0.3,0.0216238839285714,0.0509207589285714,-0.0048828125,0.0446428571428571,0.00279017857142857,0.048828125,0.0137409699770531,0.00860470670674447,0.0140865162338667,0.00941421291521297,0.014112925017047,0.00889275695129058
0.4,0.0244140625,0.0474330357142857,-0.00697544642857143,0.0516183035714286,0.0111607142857143,0.0502232142857143,0.0195115413753665,0.0122718464235252,0.0199633210239446,0.0133891098265995,0.0200266676667883,0.0126548481206617
0.5,0.0139508928571429,0.0481305803571429,0.00558035714285714,0.0558035714285714,0.0132533482142857,0.0662667410714286,0.0252390502048391,0.0159158948119479,0.0257819451613029,0.0173285876168137,0.0258812712722852,0.016385004040378
0.6,0.0188337053571429,0.0495256696428571,-0.00418526785714286,0.0439453125,0.00348772321428571,0.0404575892857143,0.0309238178103825,0.0195369971465445,0.0315429646338575,0.0212329618499829,0.0316773272257719,0.0200834957414473
0.7,0.0202287946428571,0.0481305803571429,0.0167410714285714,0.0565011160714286,0.0118582589285714,0.0571986607142857,0.036566163146053,0.0231352979148745,0.0372469497306166,0.0251025453237229,0.037415421019906,0.0237505920121331
0.8,0.0362723214285714,0.05859375,0.009765625,0.0460379464285714,0.0111607142857143,0.0523158482142857,0.042166402785738,0.0267109406951552,0.0428944650947024,0.0289376480485165,0.0430961322922798,0.0273865593591973
0.9,0.0369698660714286,0.0551060267857143,0.00906808035714286,0.0453404017857143,0.0251116071428571,0.0669642857142857,0.0477248509409098,0.0302640681615141,0.0484860697792426,0.0327385772724319,0.0487200348839494,0.0309916620271033
1,0.0334821428571429,0.0571986607142857,0.0202287946428571,0.0551060267857143,0.0174386160714286,0.0537109375,0.0532418194782545,0.0337948220896798,0.0540223173027113,0.0365056375057382,0.0542876968974021,0.0345661620172192
1.1,0.0383649553571429,0.0544084821428571,0.0279017857142857,0.0641741071428571,0.0334821428571429,0.0676618303571429,0.0587176179371699,0.0373033433626397,0.0595037557037227,0.0402391305453006,0.0597996807539435,0.038110319106859
1.2,0.0348772321428571,0.0551060267857143,0.0272042410714286,0.0516183035714286,0.0355747767857143,0.0704520089285714,0.064152553547133,0.0407897719762606,0.0649309275952816,0.0439393554987591,0.065256543250511,0.0416243908681621
1.3,0.0432477678571429,0.0662667410714286,0.0390625,0.0613839285714286,0.0355747767857143,0.0704520089285714,0.0695469312449374,0.0442542470448757,0.0703043702184976,0.0476066088084912,0.0706588356159187,0.045108632686812
1.4,0.0411551339285714,0.0467354910714286,0.0285993303571429,0.0725446428571429,0.0411551339285714,0.0592912946428571,0.0749010536918024,0.0476969068068348,0.0756246154957666,0.0512411842753614,0.0760071035665407,0.0485632977805968
1.5,0.0578962053571429,0.0669642857142857,0.0209263392857143,0.0558035714285714,0.0544084821428571,0.0676618303571429,0.0802152212903544,0.0511178886300204,0.0808921900834271,0.0548433730822587,0.0813018873614365,0.0519886372178119
1.6,0.0432477678571429,0.0634765625,0.0460379464285714,0.0802176339285714,0.0571986607142857,0.0718470982142857,0.0854897322014814,0.0545173290173291,0.0861076154238937,0.0584134638174252,0.0865437218569259,0.055384899935506
1.7,0.0592912946428571,0.0648716517857143,0.0418526785714286,0.0732421875,0.0537109375,0.0606863839285714,0.0907248823610622,0.0578953636121182,0.0912714077972753,0.0619517424975758,0.0917331365606181,0.0587523327575733
1.8,0.0474330357142857,0.0669642857142857,0.0558035714285714,0.0802176339285714,0.0655691964285714,0.0704520089285714,0.0959209654965699,0.061252127203618,0.0963840783724828,0.0654584925908123,0.0968706556848998,0.0620911804126906
1.9,0.0718470982142857,0.0774274553571429,0.0516183035714286,0.0795200892857143,0.0739397321428571,0.0830078125,0.101078273143552,0.0645877537323104,0.101446133257829,0.0689339950393336,0.101956798199889,0.0654016855521039
2,0.0732421875,0.0725446428571429,0.0704520089285714,0.0920758928571429,0.0816127232142857,0.0837053571428571,0.106197094661989,0.0679023762952727,0.106458073551131,0.0723785282819433,0.10699207788586,0.0686840887672626
2.1,0.0774274553571429,0.0823102678571429,0.0544084821428571,0.0690569196428571,0.0823102678571429,0.0760323660714286,0.111277717252527,0.0711961271514894,0.111420395389312,0.0757923682763565,0.111977003385142,0.0719386286073043
2.2,0.0697544642857143,0.0648716517857143,0.078125,0.0690569196428571,0.0941685267857143,0.0934709821428571,0.116320425972593,0.0744691377271284,0.116333589997514,0.0791757885213084,0.1169120782535,0.0751655415963921
2.3,0.0816127232142857,0.0864955357142857,0.0767299107142857,0.0816127232142857,0.0788225446428571,0.0899832589285714,0.121325503752389,0.0777215386207863,0.121198143737729,0.0825290600784652,0.121797801011004,0.0783650622509035
2.4,0.09765625,0.0816127232142857,0.078125,0.0844029017857143,0.0941685267857143,0.0837053571428571,0.126293231410766,0.0809534596086984,0.126014538156938,0.0858524515941405,0.126634665192383,0.0815374230964739
2.5,0.109514508928571,0.0837053571428571,0.0913783482142857,0.0913783482142857,0.103236607142857,0.0948660714285714,0.131223887670977,0.0841650296499179,0.130783250034785,0.0891462293208174,0.131423159396886,0.0846828546848959
2.6,0.101841517857143,0.0955636160714286,0.0851004464285714,0.0885881696428571,0.1025390625,0.103934151785714,0.136117749176322,0.0873563768914609,0.135504751430773,0.0924106571384795,0.136163767337631,0.0878015856108739
2.7,0.130440848214286,0.09765625,0.0997488839285714,0.0990513392857143,0.117885044642857,0.101841517857143,0.140975090505661,0.0905276286734203,0.140179509730991,0.0956459965757517,0.140856967890475,0.0908938425286381
2.8,0.122767857142857,0.0864955357142857,0.0899832589285714,0.0906808035714286,0.106724330357143,0.0906808035714286,0.145796184188828,0.0936789115340461,0.144807987694384,0.0988525068308521,0.14550323514238,0.0939598501684162
2.9,0.129743303571429,0.134626116071429,0.119280133928571,0.0997488839285714,0.129743303571429,0.105329241071429,0.150581300721916,0.0968103512147953,0.149390643498559,0.102030444792358,0.150103038439311,0.0969998313527656
3,0.13671875,0.1123046875,0.116489955357143,0.0983537946428571,0.129045758928571,0.1025390625,0.155330708582456,0.0999220726653487,0.153927930785144,0.105180065059786,0.154656842433644,0.100014007012767
3.1,0.104631696428571,0.1171875,0.128348214285714,0.115792410714286,0.131138392857143,0.106026785714286,0.160044674244478,0.103014200048597,0.158420298704693,0.108301619963989,0.159165107131099,0.103002596204082
3.2,0.140206473214286,0.105329241071429,0.127650669642857,0.107421875,0.140904017857143,0.0906808035714286,0.164723462193468,0.106086856745594,0.162868191961144,0.111395359587374,0.163628287937216,0.10596581612287
3.3,0.140904017857143,0.100446428571429,0.136021205357143,0.120675223214286,0.134626116071429,0.103236607142857,0.1693673349412,0.109140165360482,0.167272050855849,0.114461531783932,0.168046835703353,0.108903882121576
3.4,0.150669642857143,0.113699776785714,0.145786830357143,0.110212053571429,0.1513671875,0.110212053571429,0.17397655304047,0.112174247725381,0.171632311331151,0.117500382199101,0.172421196772228,0.11181700772458
3.5,0.165318080357143,0.120675223214286,0.136021205357143,0.105329241071429,0.157645089285714,0.1171875,0.178551375099712,0.115189224905252,0.175949405013544,0.120512154289442,0.17675181302301,0.114705404643715
3.6,0.15625,0.115094866071429,0.160435267857143,0.119977678571429,0.170200892857143,0.120675223214286,0.183092057797508,0.118185217202727,0.180223759256399,0.123497089342145,0.181039121915955,0.117569282793652
