time,spir_n,snimac1_n
0,0,-0.0426296802780716
0.0999999999999943,0.5,-0.0540368007533253
0.200000000000017,0.5,-0.0459126712285789
0.300000000000011,0.5,-0.0654578125371659
0.400000000000006,0.5,-0.0670993080124195
0.5,0.5,-0.0443267409876732
0.599999999999994,0.5,-0.0687546947962601
0.700000000000017,0.5,-0.0508649402715138
0.800000000000011,0.5,-0.0362303940801008
0.900000000000006,0.5,-0.0508927228886877
1,0.5,-0.039513385030608
1.09999999999999,0.5,-0.024878838839195
1.20000000000002,0.5,-0.0167547093144487
1.30000000000001,0.5,-0.0362998506230356
1.40000000000001,0.5,-0.034686137764956
1.5,0.5,-0.0363276332402096
1.59999999999999,0.5,-0.0200654828821299
1.70000000000002,0.5,-0.0396106241907169
1.80000000000001,0.5,-0.0152104529993039
1.90000000000001,0.5,-0.00871392764122418
2,0.5,-0.0168658397831445
2.09999999999999,0.5,-0.0315281685917315
2.20000000000002,0.5,-0.0136384140669851
2.30000000000001,0.5,-0.0250455345422388
2.40000000000001,0.5,0.0026098449825076
2.5,0.5,-0.0120524838260794
2.59999999999999,0.5,0.00258206236533365
2.70000000000002,0.5,0.0188442127234133
2.80000000000001,0.5,-0.00070092858517364
2.90000000000001,0.5,-0.000714819893760617
3,0.5,0.0269405596309857
3.09999999999999,0.5,0.0155334391557321
3.20000000000002,0.5,0.0122643395138118
3.30000000000001,0.5,0.00736763570522481
3.40000000000001,0.5,0.0350230152299712
3.5,0.5,0.0122226655880509
3.59999999999999,0.5,0.0252296076127972
3.70000000000002,0.5,0.0203329038042102
3.80000000000001,0.5,0.0284570333289566
3.90000000000001,0.5,0.0382087670203696
4,0.5,0.0251740423784493
4.09999999999999,0.5,0.0528294219031957
4.20000000000002,0.5,0.0528155305946087
4.30000000000001,0.5,0.0495464309526884
4.40000000000001,0.5,0.0560429563107681
4.5,0.5,0.0641670858355144
4.59999999999999,0.5,0.0527599653602608
4.70000000000002,0.5,0.0543736782183405
4.80000000000001,0.5,0.0511045785764201
4.90000000000001,0.5,0.0641115206011665
5,0.5,0.0657252334592462
5.09999999999999,0.5,0.0901254046506592
5.20000000000002,0.5,0.0868563050087392
5.30000000000001,0.5,0.0819596012001519
5.40000000000001,0.5,0.103104564058232
5.5,0.5,0.0933250477496449
5.59999999999999,0.5,0.0916835522743913
5.70000000000002,0.5,0.098180077632471
5.80000000000001,0.5,0.093283373823884
5.90000000000001,0.5,0.107917920015297
6,0.5,0.0900003828733767
6.09999999999999,0.5,0.09486930406479
6.20000000000002,0.5,0.0981106210895364
6.30000000000001,0.5,0.124138396447616
6.40000000000001,0.5,0.111103671805696
6.5,0.5,0.117600197163775
6.59999999999999,0.5,0.119213910021855
6.70000000000002,0.5,0.104551581213268
6.80000000000001,0.5,0.112675710738015
6.90000000000001,0.5,0.120799840262761
7,0.5,0.127296365620841
7.09999999999999,0.5,0.115889245145587
7.20000000000002,0.5,0.127268583003667
7.30000000000001,0.5,0.125627087528413
7.40000000000001,0.5,0.135378821219826
7.5,0.5,0.154896179911239
7.59999999999999,0.5,0.149999476102652
7.70000000000002,0.5,0.151613188960732
7.80000000000001,0.5,0.140206068485478
7.90000000000001,0.5,0.138564573010224
8,0.5,0.148316306701637
8.09999999999999,0.5,0.154812832059717
8.20000000000002,0.5,0.141778107417797
8.30000000000001,0.5,0.15641265360921
8.40000000000001,0.5,0.17267480396729
8.5,0.5,0.169405704325369
8.59999999999999,0.5,0.156370979683449
8.70000000000002,0.5,0.166122713374862
8.80000000000001,0.5,0.151460384566275
8.90000000000001,0.5,0.172605347424355
9,0.5,0.157943018615768
9.09999999999999,0.5,0.144908293973847
9.20000000000002,0.5,0.17419127766526
9.30000000000001,0.5,0.17092217802334
9.40000000000001,0.5,0.164397870048086
9.5,0.5,0.172521999572833
9.59999999999999,0.5,0.187156545764246
9.70000000000002,0.5,0.172494216955659
9.80000000000001,0.5,0.193639179813739
9.90000000000001,0.5,0.172466434338485
10,0.5,0.177335355529898
10.1,0.5,0.178949068387978
10.2,0.5,0.188700802079391
10.3,0.5,0.174038473270804
10.4,0.5,0.169141769462217
10.5,0.5,0.200052357320296
10.6,0.5,0.190272841011709
10.7,0.5,0.190258949703122
10.8,0.5,0.188617454227869
10.9,0.5,0.182093146252615
11,0.5,0.169058421610695
11.1,0.5,0.185320571968774
11.2,0.5,0.185306680660188
11.3,0.5,0.167389143518267
11.4,0.5,0.185278898043014
11.5,0.5,0.195030631734427
11.6,0.5,0.19989955292584
11.7,0.5,0.211278890783919
11.8,0.5,0.191733749475332
11.9,0.5,0.193347462333412
12,0.5,0.186823154358158
12.1,0.5,0.167278013049571
12.2,0.5,0.196560996740984
12.3,0.5,0.196547105432398
12.4,0.5,0.191650401623811
12.5,0.5,0.20791255198189
12.6,0.5,0.203015848173303
12.7,0.5,0.207884769364716
12.8,0.5,0.193222440556129
12.9,0.5,0.186698132580876
13,0.5,0.178546220438956
13.1,0.5,0.206201599963702
13.2,0.5,0.207815312821782
13.3,0.5,0.189897775679861
13.4,0.5,0.224063571871274
13.5,0.5,0.188242388896021
13.6,0.5,0.2093873517541
13.7,0.5,0.194725022945513
13.8,0.5,0.209359569136926
13.9,0.5,0.210973281995006
14,0.5,0.209331786519752
14.1,0.5,0.206062686877832
14.2,0.5,0.204421191402579
14.3,0.5,0.199524487593992
14.4,0.5,0.194627783785405
14.5,0.5,0.222283163310151
14.6,0.5,0.205993230334897
14.7,0.5,0.222255380692977
14.8,0.5,0.196199822717723
14.9,0.5,0.21897238974247
15,0.5,0.218958498433883
15.1,0.5,0.217317002958629
15.2,0.5,0.207537486650042
15.3,0.5,0.212406407841455
15.4,0.5,0.210764912366201
15.5,0.5,0.207495812724281
15.6,0.5,0.227013171415694
15.7,0.5,0.197702405107107
15.8,0.5,0.21233695129852
15.9,0.5,0.1993022266566
16,0.5,0.222074793681346
16.1,0.5,0.220433298206093
16.2,0.5,0.200888156897506
16.3,0.5,0.213895098922252
16.4,0.5,0.212253603446998
16.5,0.5,0.225260545471745
16.6,0.5,0.226874258329824
16.7,0.5,0.230115575354571
16.8,0.5,0.21708085071265
16.9,0.5,0.23822581357073
17,0.5,0.218680672262143
17.1,0.5,0.221921989286889
17.2,0.5,0.225163306311636
17.3,0.5,0.236542644169716
17.4,0.5,0.212114690361129
17.5,0.5,0.225121632385875
17.6,0.5,0.215342116077288
17.7,0.5,0.236487078935368
17.8,0.5,0.247866416793447
17.9,0.5,0.22343846298486
18,0.5,0.23481780084294
18.1,0.5,0.234803909534354
18.2,0.5,0.244555643225767
18.3,0.5,0.231520918583846
18.4,0.5,0.238017443941926
18.5,0.5,0.236375948466672
18.6,0.5,0.220086015491419
18.7,0.5,0.210306499182832
18.8,0.5,0.242844691207578
18.9,0.5,0.239575591565658
19,0.5,0.249327325257071
