0,3,0,9.3994,8.501
0.1,3,0,9.3896,8.335
0.2,3,0,9.375,8.2666
0.3,3,0,9.3994,8.2275
0.4,3,0,9.3896,8.2422
0.5,3,0,9.3945,8.2568
0.6,3,0,9.3799,8.2422
0.7,3,0,9.3408,8.2764
0.8,3,0,9.3506,8.2568
0.9,3,0,9.3604,8.2471
1,3,0,9.3457,8.2422
1.1,3,0,9.3115,8.2373
1.2,3,0,9.3018,8.2275
1.3,3,0,9.3164,8.2227
1.4,3,0,9.292,8.2275
1.5,3,0,9.2529,8.1934
1.6,3,0,9.2773,8.1934
1.7,3,0,9.2334,8.1934
1.8,3,0,9.209,8.1934
1.9,3,0,9.1992,8.1592
2,3,0,9.1992,8.1396
2.1,3,0,9.1895,8.1445
2.2,3,0,9.1406,8.1592
2.3,3,0,9.1504,8.1201
2.4,3,0,9.0869,8.1201
2.5,3,0,9.1113,8.0859
2.6,3,0,9.0625,8.0957
2.7,3,0,9.0576,8.0664
2.8,3,0,9.0137,8.0811
2.9,3,0,9.0137,8.0566
3,3,0,8.9746,8.0322
3.1,3,0,8.96,8.0469
3.2,3,0,8.9355,8.0176
3.3,3,0,8.9014,8.0078
3.4,3,0,8.9014,8.0078
3.5,3,0,8.8477,7.9883
3.6,3,0,8.8232,7.9736
3.7,3,0,8.7891,7.9688
3.8,3,0,8.7939,7.959
3.9,3,0,8.7695,7.9541
4,3,0,8.6963,7.9492
4.1,3,0,8.6865,7.9053
4.2,3,0,8.6523,7.876
4.3,3,0,8.6572,7.876
4.4,3,0,8.6279,7.832
4.5,3,0,8.5938,7.8076
4.6,3,0,8.5645,7.8223
4.7,3,0,8.54,7.8125
4.8,3,0,8.4961,7.7979
4.9,3,0,8.4912,7.7881
5,3,0,8.4375,7.7637
5.1,3,0,8.4033,7.7295
5.2,3,0,8.3838,7.749
5.3,3,0,8.3643,7.71
5.4,3,0,8.3203,7.7246
5.5,3,0,8.2959,7.6855
5.6,3,0,8.2812,7.6562
5.7,3,0,8.2568,7.6514
5.8,3,0,8.2471,7.6514
5.9,3,0,8.2129,7.6172
6,3,0,8.1299,7.6562
6.1,3,0,8.1445,7.6025
6.2,3,0,8.1055,7.5781
6.3,3,0,8.0957,7.5684
6.4,3,0,8.0859,7.5391
6.5,3,0,8.0615,7.5146
6.6,3,0,7.998,7.5244
6.7,3,0,8.0078,7.4951
6.8,3,0,7.9639,7.4805
6.9,3,0,7.9492,7.4854
7,3,0,7.9248,7.4512
7.1,3,0,7.8906,7.4219
7.2,3,0,7.8564,7.4316
7.3,3,0,7.8369,7.4023
7.4,3,0,7.8271,7.3828
7.5,3,0,7.7979,7.3682
7.6,3,0,7.7734,7.373
7.7,3,0,7.7344,7.334
7.8,3,0,7.7148,7.3291
7.9,3,0,7.6855,7.3242
8,3,0,7.6562,7.3145
8.1,3,0,7.6123,7.2949
8.2,3,0,7.6221,7.3047
8.3,3,0,7.583,7.2656
8.4,3,0,7.5732,7.2656
8.5,3,0,7.5342,7.2363
8.6,3,0,7.5146,7.2314
8.7,3,0,7.4609,7.1924
8.8,3,0,7.4756,7.2168
8.9,3,0,7.4414,7.1924
9,3,0,7.3926,7.2021
9.1,3,0,7.3828,7.1484
9.2,3,0,7.373,7.1582
9.3,3,0,7.3193,7.1338
9.4,3,0,7.3193,7.1143
9.5,3,0,7.3047,7.0996
9.6,3,0,7.2705,7.1045
9.7,3,0,7.2461,7.0947
9.8,3,0,7.2119,7.0557
9.9,3,0,7.2217,7.0508
10,3,0,7.1729,7.0312
10.1,3,0,7.1484,7.0264
10.2,3,0,7.1582,7.041
10.3,3,0,7.1387,7.0166
10.4,3,0,7.0801,6.9873
10.5,3,0,7.0605,7.0068
10.6,3,0,7.0605,6.9971
10.7,3,0,7.041,6.9678
10.8,3,0,6.9971,6.9385
10.9,3,0,6.9775,6.9531
11,3,0,6.9385,6.9336
11.1,3,0,6.9531,6.8994
11.2,3,0,6.9238,6.9238
11.3,3,0,6.9336,6.875
11.4,3,0,6.9141,6.8701
11.5,3,0,6.8652,6.875
11.6,3,0,6.8652,6.875
11.7,3,0,6.8311,6.8604
11.8,3,0,6.8164,6.8457
11.9,3,0,6.8164,6.8115
12,3,0,6.7871,6.792
12.1,3,0,6.8311,6.792
12.2,3,0,6.7529,6.7773
12.3,3,0,6.7285,6.7676
12.4,3,0,6.709,6.7969
12.5,3,0,6.709,6.7773
12.6,3,0,6.6699,6.7432
12.7,3,0,6.6846,6.7822
12.8,3,0,6.6797,6.7334
12.9,3,0,6.6406,6.7529
13,3,0,6.6406,6.7139
13.1,3,0,6.6016,6.7383
13.2,3,0,6.5869,6.6943
13.3,3,0,6.6016,6.6943
13.4,3,0,6.5918,6.6846
13.5,3,0,6.5723,6.6943
13.6,3,0,6.5381,6.665
13.7,3,0,6.5479,6.6553
13.8,3,0,6.5088,6.6602
13.9,3,0,6.4941,6.6553
14,3,0,6.4795,6.6553
14.1,3,0,6.499,6.626
14.2,3,0,6.4697,6.626
14.3,3,0,6.4648,6.6064
14.4,3,0,6.4404,6.6016
14.5,3,0,6.4111,6.6016
14.6,3,0,6.4014,6.5967
14.7,3,0,6.416,6.5771
14.8,3,0,6.3818,6.5479
14.9,3,0,6.3574,6.543
15,3,0,6.3525,6.5771
15.1,3,0,6.3428,6.5479
15.2,3,0,6.333,6.5234
15.3,3,0,6.3184,6.5283
15.4,3,0,6.3086,6.5283
15.5,3,0,6.3232,6.5088
15.6,3,0,6.2793,6.5283
15.7,3,0,6.2695,6.5088
15.8,3,0,6.2744,6.4795
15.9,3,0,6.25,6.4746
16,3,0,6.2305,6.5039
16.1,3,0,6.2305,6.46
16.2,3,0,6.2256,6.4551
16.3,3,0,6.2061,6.4551
16.4,3,0,6.2012,6.4551
16.5,3,0,6.1914,6.4502
16.6,3,0,6.1719,6.4355
16.7,3,0,6.167,6.4209
16.8,3,0,6.167,6.4502
16.9,3,0,6.1523,6.4307
17,3,0,6.123,6.4355
17.1,3,0,6.123,6.416
17.2,3,0,6.1328,6.3916
17.3,3,0,6.1035,6.3965
17.4,3,0,6.1182,6.3916
17.5,3,0,6.0693,6.4062
17.6,3,0,6.0791,6.377
17.7,3,0,6.084,6.377
17.8,3,0,6.0693,6.3623
17.9,3,0,6.0645,6.3916
18,3,0,6.0449,6.3574
18.1,3,0,6.0205,6.3623
18.2,3,0,6.04,6.3477
18.3,3,0,6.0156,6.3379
18.4,3,0,6.0254,6.3135
18.5,3,0,6.001,6.3477
18.6,3,0,6.0889,6.3477
18.7,3,0,5.9863,6.333
18.8,3,0,5.9668,6.3428
18.9,3,0,5.9619,6.3135
19,3,0,5.9424,6.2939
19.1,3,0,5.9473,6.2988
19.2,3,0,5.9668,6.2793
19.3,3,0,5.9277,6.2744
19.4,3,0,5.9082,6.2939
19.5,3,0,5.9131,6.2646
19.6,3,0,5.9229,6.2549
19.7,3,0,5.9131,6.25
19.8,3,0,5.918,6.2598
19.9,3,0,5.918,6.25
20,3,0,5.8838,6.2305
20.1,3,0,5.8838,6.2598
20.2,3,0,5.8936,6.2598
20.3,3,0,5.8643,6.2207
20.4,3,0,5.8594,6.2158
20.5,3,0,5.8496,6.2061
20.6,3,0,5.8496,6.2061
20.7,3,0,5.8301,6.2256
20.8,3,0,5.8057,6.2305
20.9,3,0,5.8203,6.2012
21,3,0,5.835,6.1963
21.1,3,0,5.8008,6.2207
21.2,3,0,5.8008,6.2012
21.3,3,0,5.8105,6.1816
21.4,3,0,5.7617,6.2061
21.5,3,0,5.791,6.1914
21.6,3,0,5.7861,6.1719
21.7,3,0,5.7812,6.1621
21.8,3,0,5.7471,6.1914
21.9,3,0,5.752,6.1865
22,3,0,5.7666,6.1377
22.1,3,0,5.7373,6.1572
22.2,3,0,5.7422,6.1719
22.3,3,0,5.7373,6.1523
22.4,3,0,5.7129,6.1377
22.5,3,0,5.7373,6.1621
22.6,3,0,5.7422,6.1328
22.7,3,0,5.7227,6.123
22.8,3,0,5.7178,6.1377
22.9,3,0,5.6885,6.1523
23,3,0,5.6836,6.1523
23.1,3,0,5.6738,6.1133
23.2,3,0,5.7031,6.1084
23.3,3,0,5.6543,6.1182
23.4,3,0,5.6738,6.1035
23.5,3,0,5.6494,6.1035
23.6,3,0,5.6494,6.1035
23.7,3,0,5.6396,6.1182
23.8,3,0,5.6641,6.0938
23.9,3,0,5.6348,6.1084
24,3,0,5.6299,6.1035
24.1,3,0,5.6152,6.1084
24.2,3,0,5.6201,6.1084
24.3,3,0,5.6299,6.0645
24.4,3,0,5.6055,6.0791
24.5,3,0,5.6201,6.0742
24.6,3,0,5.625,6.0547
24.7,3,0,5.5859,6.0938
24.8,3,0,5.6201,6.0889
24.9,3,0,5.6152,6.0742
25,3,0,5.5908,6.0889
25.1,3,0,5.5664,6.0498
25.2,3,0,5.5859,6.0498
25.3,3,0,5.5859,6.0693
25.4,3,0,5.5518,6.04
25.5,3,0,5.5762,6.04
25.6,3,0,5.5469,6.0205
25.7,3,0,5.5762,6.0303
25.8,3,0,5.5615,6.04
25.9,3,0,5.5225,6.0547
26,3,0,5.5322,6.0205
26.1,3,0,5.5469,6.0352
26.2,3,0,5.5469,6.0303
26.3,3,0,5.5566,6.0205
26.4,3,0,5.5273,6.0254
26.5,3,0,5.5322,6.0156
26.6,3,0,5.5322,6.0303
26.7,3,0,5.498,6.0205
26.8,3,0,5.5127,6.04
26.9,3,0,5.5078,6.0059
27,3,0,5.498,6.0303
27.1,3,0,5.4932,5.9814
27.2,3,0,5.5029,5.9863
27.3,3,0,5.4688,5.9863
27.4,3,0,5.4688,6.001
27.5,3,0,5.4541,5.9766
27.6,3,0,5.459,5.9668
27.7,3,0,5.4736,5.9814
27.8,3,0,5.4736,5.9863
27.9,3,0,5.4395,5.9668
28,3,0,5.4639,5.9863
28.1,3,0,5.4395,5.9912
28.2,3,0,5.4443,5.957
28.3,3,0,5.4346,5.957
28.4,3,0,5.415,5.9668
28.5,3,0,5.4541,5.9863
28.6,3,0,5.4346,5.9668
28.7,3,0,5.4346,5.957
28.8,3,0,5.4102,5.9766
28.9,3,0,5.4053,5.9619
29,3,0,5.4199,5.957
29.1,3,0,5.4199,5.9668
29.2,3,0,5.4102,5.9668
29.3,3,0,5.4004,5.9473
29.4,3,0,5.3857,5.9521
29.5,3,0,5.4053,5.9277
29.6,3,0,5.376,5.9229
29.7,3,0,5.4102,5.9521
29.8,3,0,5.376,5.9521
29.9,3,0,5.3662,5.9326
30,3,0,5.3857,5.8984
30.1,3,0,5.3711,5.9326
30.2,3,0,5.3613,5.9229
30.3,3,0,5.3906,5.9082
30.4,3,0,5.3516,5.9033
30.5,3,0,5.3711,5.9082
30.6,3,0,5.3613,5.8984
30.7,3,0,5.3467,5.874
30.8,3,0,5.3369,5.8838
30.9,3,0,5.3223,5.9082
31,3,0,5.3467,5.874
31.1,3,0,5.3223,5.8984
31.2,3,0,5.3223,5.8789
31.3,3,0,5.3467,5.8594
31.4,3,0,5.3076,5.8643
31.5,3,0,5.332,5.8789
31.6,3,0,5.3418,5.8691
31.7,3,0,5.3418,5.8545
31.8,3,0,5.332,5.8594
31.9,3,0,5.3076,5.8789
32,3,0,5.3027,5.8691
32.1,3,0,5.3027,5.8301
32.2,3,0,5.3027,5.8447
32.3,3,0,5.3076,5.8447
32.4,3,0,5.3125,5.8447
32.5,3,0,5.3027,5.8643
32.6,3,0,5.3027,5.835
32.7,3,0,5.293,5.835
32.8,3,0,5.2734,5.8252
32.9,3,0,5.2881,5.8154
33,3,0,5.2783,5.8496
33.1,3,0,5.2588,5.835
33.2,3,0,5.2686,5.8447
33.3,3,0,5.2637,5.8105
33.4,3,0,5.2539,5.8203
33.5,3,0,5.2686,5.8398
