time,y,sp_all,u_global,u_local,mode_local,sp_global,sp_global_soft,sp_local
0,3.1396484375,3.04999999999995,0,0,2,4.4884,3.04999999999995,0
0.100000000000009,3.1298828125,3.05249999999995,0,0,2,4.4884,3.05249999999995,0
0.200000000000003,3.1298828125,3.05499999999995,0,0,2,4.4884,3.05499999999995,0
0.300000000000011,3.0908203125,3.05749999999995,0,0,2,4.4884,3.05749999999995,0
0.400000000000006,3.1103515625,3.05999999999995,0,0,2,4.4884,3.05999999999995,0
0.5,3.1201171875,3.06249999999995,0,0,2,4.4884,3.06249999999995,0
0.600000000000009,3.125,3.06499999999995,0,0,2,4.4884,3.06499999999995,0
0.700000000000003,3.10546875,3.06749999999995,0,0,2,4.4884,3.06749999999995,0
0.800000000000011,3.134765625,3.06999999999995,0,0,2,4.4884,3.06999999999995,0
0.900000000000006,3.134765625,3.07249999999995,0,0,2,4.4884,3.07249999999995,0
1,3.10546875,3.07499999999995,0,0,2,4.4884,3.07499999999995,0
1.10000000000001,3.1005859375,3.07749999999995,0,0,2,4.4884,3.07749999999995,0
1.2,3.1103515625,3.07999999999995,0,0,2,4.4884,3.07999999999995,0
1.30000000000001,3.095703125,3.08249999999995,0,0,2,4.4884,3.08249999999995,0
1.40000000000001,3.10546875,3.08499999999995,0,0,2,4.4884,3.08499999999995,0
1.5,3.134765625,3.08749999999995,0,0,2,4.4884,3.08749999999995,0
1.60000000000001,3.0859375,3.08999999999995,0.0656249999994518,0,2,4.4884,3.08999999999995,0
1.7,3.134765625,3.09249999999995,0,0,2,4.4884,3.09249999999995,0
1.80000000000001,3.10546875,3.09499999999995,0,0,2,4.4884,3.09499999999995,0
1.90000000000001,3.134765625,3.09749999999995,0,0,2,4.4884,3.09749999999995,0
2,3.115234375,3.09999999999995,0,0,2,4.4884,3.09999999999995,0
2.10000000000001,3.1005859375,3.10249999999994,0.0441406249994492,0,2,4.4884,3.10249999999994,0
2.2,3.125,3.10499999999994,0,0,2,4.4884,3.10499999999994,0
2.30000000000001,3.134765625,3.10749999999994,0,0,2,4.4884,3.10749999999994,0
2.40000000000001,3.1103515625,3.10999999999994,0.0214843749994476,0,2,4.4884,3.10999999999994,0
2.5,3.1396484375,3.11249999999994,0,0,2,4.4884,3.11249999999994,0
2.60000000000001,3.115234375,3.11499999999994,0.0226562499994465,0,2,4.4884,3.11499999999994,0
2.7,3.1201171875,3.11749999999994,0,0,2,4.4884,3.11749999999994,0
2.80000000000001,3.0908203125,3.11999999999994,0.316796874999445,0,2,4.4884,3.11999999999994,0
2.90000000000001,3.115234375,3.12249999999994,0.0976562499994449,0,2,4.4884,3.12249999999994,0
3,3.10546875,3.12499999999994,0.220312499999444,0,2,4.4884,3.12499999999994,0
3.10000000000001,3.10546875,3.12749999999994,0.245312499999444,0,2,4.4884,3.12749999999994,0
3.2,3.154296875,3.12999999999994,0,0,2,4.4884,3.12999999999994,0
3.30000000000001,3.125,3.13249999999994,0.0999999999994428,0,2,4.4884,3.13249999999994,0
3.40000000000001,3.095703125,3.13499999999994,0.417968749999442,0,2,4.4884,3.13499999999994,0
3.5,3.125,3.13749999999994,0.149999999999442,0,2,4.4884,3.13749999999994,0
3.60000000000001,3.134765625,3.13999999999994,0.0773437499994412,0,2,4.4884,3.13999999999994,0
3.7,3.1396484375,3.14249999999994,0.0535156249994406,0,2,4.4884,3.14249999999994,0
3.80000000000001,3.1005859375,3.14499999999994,0.46914062499944,0,2,4.4884,3.14499999999994,0
3.90000000000001,3.1005859375,3.14749999999994,0.49414062499944,0,2,4.4884,3.14749999999994,0
4,3.1005859375,3.14999999999994,0.519140624999439,0,2,4.4884,3.14999999999994,0
4.10000000000001,3.125,3.15249999999994,0.299999999999438,0,2,4.4884,3.15249999999994,0
4.2,3.1396484375,3.15499999999994,0.178515624999438,0,2,4.4884,3.15499999999994,0
4.30000000000001,3.1689453125,3.15749999999994,0,0,2,4.4884,3.15749999999994,0
4.40000000000001,3.1201171875,3.15999999999994,0.423828124999437,0,2,4.4884,3.15999999999994,0
4.5,3.1103515625,3.16249999999994,0.546484374999436,0,2,4.4884,3.16249999999994,0
4.60000000000001,3.1103515625,3.16499999999994,0.571484374999436,0,2,4.4884,3.16499999999994,0
