time,setpoint,vstup,vystup
0,0.35,0,0
0.1,0.35,6,0.0278788104452427
0.2,0.35,6,0.0560223440857445
0.3,0.35,6,0.08418669998144
0.4,0.35,6,0.112165249194434
0.5,0.35,6,0.139953275030303
0.6,0.35,5.7212614953327,0.166256753073894
0.7,0.35,5.43061835040728,0.191009356614149
0.8,0.35,5.14207273186628,0.214220621202891
0.9,0.35,4.8571126773704,0.235917163624623
1,0.35,4.57687980187067,0.25613159849284
1.1,0.35,4.30236893800604,0.274901101919747
1.2,0.35,4.03444991933419,0.292266756306791
1.3,0.35,3.77387554479487,0.308272964313038
1.4,0.35,3.52128888984556,0.32296690291952
1.5,0.35,3.2772304617902,0.336398015342322
1.6,0.35,3.0421452001985,0.348617539746909
1.7,0.35,2.81638930213411,0.359678073679889
1.8,0.35,2.60023685375547,0.369633173056106
1.9,0.35,2.39388625256542,0.378536984471736
2,0.35,2.19746640716389,0.386443909559499
2.1,0.35,2.01104270375979,0.393408300059358
2.2,0.35,1.83462273092655,0.399484182246239
2.3,0.35,1.66816175614563,0.404725009334559
2.4,0.35,1.51156794957811,0.409183440466737
2.5,0.35,1.36470735224386,0.41291114488867
2.6,0.35,1.22740858737479,0.415958629918603
2.7,0.35,1.0994673151515,0.418375091326028
2.8,0.35,0.980650432335791,0.420208284753743
2.9,0.35,0.87070001948328,0.421504416838058
3,0.35,0.769337039465935,0.422308054708916
3.1,0.35,0.676264791961163,0.422662052582698
3.2,0.35,0.591172129378325,0.422607494195159
3.3,0.35,0.513736440401968,0.422183649859759
3.4,0.35,0.44362640793989,0.421427946977175
3.5,0.35,0.38050454877995,0.420375952864435
3.6,0.35,0.324029542688404,0.41906136881655
3.7,0.35,0.273858359030647,0.417516034359372
3.8,0.35,0.229648189268329,0.415769940699153
3.9,0.35,0.191058193890928,0.413851252421808
4,0.35,0.157751072480176,0.411786336542683
4.1,0.35,0.129394465687937,0.409599798055515
4.2,0.35,0.105662197937093,0.407314521177022
4.3,0.35,0.0862353696358782,0.404951715530851
4.4,0.35,0.070803307633295,0.402530966561304
4.5,0.35,0.0590643825416174,0.400070289513173
4.6,0.35,0.0507267014154067,0.397586186358951
4.7,0.35,0.0455086841092026,0.395093705098531
4.8,0.35,0.0431395314418396,0.392606500899125
4.9,0.35,0.0433595930777112,0.390136898584456
5,0.35,0.0459206427975946,0.38769595602214
5.1,0.35,0.0505860685772391,0.385293527996617
5.2,0.35,0.0571309846232297,0.382938330191851
5.3,0.35,0.0653422722360186,0.380638002943309
5.4,0.35,0.0750185560814273,0.378399174452431
5.5,0.35,0.0859701221570514,0.37622752318883
5.6,0.35,0.0980187834407753,0.374127839235885
5.7,0.35,0.110997698907106,0.372104084364155
5.8,0.35,0.124751151294949,0.370159450644176
5.9,0.35,0.139134288709443,0.368296417435713
6,0.35,0.154012834841946,0.366516806614471
6.1,0.35,0.169262772297598,0.364821835919617
6.2,0.35,0.184770003230176,0.363212170326291
6.3,0.35,0.200429991200135,0.361687971366619
6.4,0.35,0.216147387895013,0.360248944340616
6.5,0.35,0.231835648082025,0.358894383374846
6.6,0.35,0.247416635901869,0.357623214301824
6.7,0.35,0.262820225360721,0.356434035346977
6.8,0.35,0.277983897634626,0.355325155622529
6.9,0.35,0.29285233756752,0.354294631439048
7,0.35,0.307377031520988,0.353340300455651
7.1,0.35,0.321515868520967,0.35245981369897
7.2,0.35,0.335232746443941,0.351650665489123
7.3,0.35,0.348497184792936,0.350910221318076
7.4,0.35,0.36128394543161,0.35023574373202
7.5,0.35,0.373572662473197,0.349624416274728
7.6,0.35,0.385347482359566,0.349073365553454
7.7,0.35,0.396596715014342,0.348579681492731
7.8,0.35,0.407312496812557,0.34814043584453
7.9,0.35,0.417490465977479,0.347752699025698
8,0.35,0.427129450892917,0.347413555355484
8.1,0.35,0.436231171706082,0.347120116767213
8.2,0.35,0.444799955491725,0.346869535069029
8.3,0.35,0.452842465152505,0.346659012828906
8.4,0.35,0.460367442143023,0.346485812959095
8.5,0.35,0.467385463025223,0.346347267074668
8.6,0.35,0.473908709790923,0.34624078270005
8.7,0.35,0.479950753822231,0.346163849396302
8.8,0.35,0.485526353302687,0.346114043880545
8.9,0.35,0.490651263840402,0.346089034207298
9,0.35,0.495342062019134,0.346086583079696
9.1,0.35,0.499615981553641,0.346104550356539
9.2,0.35,0.503490761691567,0.346140894818977
9.3,0.35,0.506984507475062,0.346193675258393
9.4,0.35,0.510115561451076,0.346261050944628
9.5,0.35,0.512902386399478,0.346341281531282
9.6,0.35,0.515363458632405,0.346432726452298
9.7,0.35,0.517517171406352,0.346533843861485
9.8,0.35,0.519381747980138,0.34664318916407
9.9,0.35,0.520975163846624,0.346759413186784
10,0.35,0.522315077663859,0.34688126003042
10.1,0.35,0.523418770411699,0.34700756464623
10.2,0.35,0.52430309230273,0.347137250175036
10.3,0.35,0.524984416981337,0.347269325085396
10.4,0.35,0.525478602551634,0.347402880144789
10.5,0.35,0.52580095898355,0.347537085255358
10.6,0.35,0.525966221456566,0.347671186183465
10.7,0.35,0.525988529211881,0.347804501210057
10.8,0.35,0.525881409496479,0.347936417726677
10.9,0.35,0.525657766195932,0.348066388799867
11,0.35,0.525329872767145,0.348193929724692
11.1,0.35,0.524909369097146,0.348318614586212
11.2,0.35,0.524407261929434,0.348440072845863
11.3,0.35,0.523833928515265,0.348557985967988
11.4,0.35,0.523199123163255,0.348672084100087
11.5,0.35,0.522511986376939,0.348782142818766
11.6,0.35,0.521781056286203,0.348887979951924
11.7,0.35,0.521014282094687,0.348989452486268
11.8,0.35,0.520219039281443,0.349086453567984
11.9,0.35,0.51940214631102,0.349178909603128
12,0.35,0.518569882621846,0.349266777463184
12.1,0.35,0.517728007678127,0.34935004180017
12.2,0.35,0.516881780885506,0.349428712474672
12.3,0.35,0.516035982185345,0.34950282209931
12.4,0.35,0.515194933156644,0.349572423699282
12.5,0.35,0.514362518468286,0.349637588490879
12.6,0.35,0.513542207537592,0.349698403778176
12.7,0.35,0.512737076263713,0.349754970967464
12.8,0.35,0.511949828716686,0.349807403698432
12.9,0.35,0.511182818674472,0.349855826090598
13,0.35,0.510438070911429,0.349900371103027
13.1,0.35,0.509717302152118,0.349941179004991
13.2,0.35,0.50902194161435,0.349978395954877
13.3,0.35,0.508353151074622,0.350012172684329
13.4,0.35,0.507711844398151,0.350042663284381
13.5,0.35,0.507098706483777,0.350070024090101
13.6,0.35,0.50651421158188,0.350094412660101
13.7,0.35,0.505958640950707,0.350115986847121
13.8,0.35,0.505432099823124,0.350134903955795
13.9,0.35,0.504934533662122,0.350151319983615
14,0.35,0.504465743689096,0.350165388941075
14.1,0.35,0.504025401674212,0.350177262246942
14.2,0.35,0.503613063982994,0.350187088194603
14.3,0.35,0.503228184877664,0.350195011485461
14.4,0.35,0.502870129075744,0.350201172825387
14.5,0.35,0.502538183572033,0.350205708580286
14.6,0.35,0.502231568733273,0.350208750486926
14.7,0.35,0.501949448677692,0.350210425415227
14.8,0.35,0.501690940954143,0.350210855178347
14.9,0.35,0.501455125537734,0.35021015638697
15,0.35,0.501241053160809,0.350208440344333
15.1,0.35,0.501047752999703,0.350205812978642
15.2,0.35,0.500874239739139,0.350202374809664
15.3,0.35,0.50071952003721,0.350198220946404
15.4,0.35,0.500582598414781,0.350193441112908
15.5,0.35,0.500462482593903,0.350188119699378
15.6,0.35,0.500358188310256,0.350182335835924
15.7,0.35,0.500268743625007,0.350176163486399
15.8,0.35,0.500193192761618,0.35016967155994
15.9,0.35,0.500130599493123,0.350162924037919
16,0.35,0.500080050105338,0.350155980114208
16.1,0.35,0.500040655961172,0.350148894346746
16.2,0.35,0.500011555690878,0.350141716818552
16.3,0.35,0.499991917032647,0.350134493306454
16.4,0.35,0.499980938347426,0.350127265455931
16.5,0.35,0.499977849831216,0.350120070960568
16.6,0.35,0.499981914447502,0.350112943744778
16.7,0.35,0.499992428601681,0.350105914148523
16.8,0.35,0.50000872257864,0.350099009112894
16.9,0.35,0.500030160763845,0.350092252365513
17,0.35,0.500056141667438,0.350085664604817
17.1,0.35,0.50008609777003,0.350079263682377
17.2,0.35,0.500119495207998,0.350073064782504
17.3,0.35,0.500155833315237,0.350067080598471
17.4,0.35,0.500194644037397,0.350061321504764
17.5,0.35,0.500235491233825,0.350055795724859
17.6,0.35,0.500277969881533,0.350050509494081
17.7,0.35,0.500321705194623,0.350045467217171
17.8,0.35,0.50036635167178,0.350040671620268
17.9,0.35,0.500411592083639,0.350036123897031
18,0.35,0.500457136410961,0.350031823848735
18.1,0.35,0.500502720743795,0.35002777001817
18.2,0.35,0.500548106151025,0.350023959817254
18.3,0.35,0.500593077528977,0.350020389648303
18.4,0.35,0.500637442436989,0.350017055018938
18.5,0.35,0.500681029927228,0.350013950650629
18.6,0.35,0.500723689375315,0.350011070580952
18.7,0.35,0.50076528931772,0.350008408259601
18.8,0.35,0.50080571630129,0.350005956638278
18.9,0.35,0.500844873749661,0.350003708254568
19,0.35,0.500882680850811,0.350001655309951
19.1,0.35,0.500919071469463,0.349999789742096
19.2,0.35,0.500953993087576,0.349998103291623
19.3,0.35,0.50098740577572,0.349996587563508
19.4,0.35,0.501019281197673,0.349995234083325
19.5,0.35,0.501049601650234,0.349994034348533
19.6,0.35,0.501078359139795,0.349992979875016
19.7,0.35,0.501105554496992,0.349992062239079
19.8,0.35,0.501131196530302,0.349991273115133
19.9,0.35,0.501155301219285,0.349990604309274
20,0.35,0.501177890947817,0.349990047788976
20.1,0.35,0.501198993777474,0.349989595709123
20.2,0.35,0.501218642760965,0.349989240434586
20.3,0.35,0.501236875295348,0.349988974559564
20.4,0.35,0.501253732514556,0.349988790923897
20.5,0.35,0.501269258720627,0.349988682626555
20.6,0.35,0.50128350085287,0.349988643036502
20.7,0.35,0.501296507994085,0.349988665801133
20.8,0.35,0.50130833091284,0.349988744852465
20.9,0.35,0.501319021640764,0.349988874411277
21,0.35,0.501328633083628,0.349989048989358
21.1,0.35,0.501337218665057,0.349989263390042
21.2,0.35,0.501344832001565,0.349989512707192
21.3,0.35,0.501351526607595,0.349989792322777
21.4,0.35,0.501357355629264,0.349990097903197
21.5,0.35,0.501362371605373,0.349990425394489
21.6,0.35,0.50136662625441,0.349990771016555
21.7,0.35,0.501370170286056,0.349991131256519
21.8,0.35,0.501373053235917,0.349991502861349
21.9,0.35,0.501375323322075,0.349991882829832
22,0.35,0.501377027322127,0.34999226840403
22.1,0.35,0.501378210469374,0.349992657060281
22.2,0.35,0.5013789163669,0.349993046499864
22.3,0.35,0.501379186918247,0.349993434639386
22.4,0.35,0.501379062273474,0.349993819600981
22.5,0.35,0.501378580789416,0.349994199702379
22.6,0.35,0.501377779002965,0.349994573446919
22.7,0.35,0.501376691616312,0.349994939513555
22.8,0.35,0.501375351493048,0.34999529674691
22.9,0.35,0.501373789664108,0.349995644147426
23,0.35,0.501372035342626,0.349995980861651
23.1,0.35,0.50137011594673,0.349996306172693
23.2,0.35,0.501368057129425,0.349996619490891
23.3,0.35,0.501365882814727,0.349996920344711
23.4,0.35,0.501363615239274,0.349997208371906
23.5,0.35,0.501361274998649,0.349997483310958
23.6,0.35,0.501358881097777,0.349997744992808
23.7,0.35,0.501356451004689,0.34999799333291
23.8,0.35,0.50135400070709,0.3499982283236
23.9,0.35,0.501351544771184,0.349998450026797
24,0.35,0.501349096402182,0.349998658567046
24.1,0.35,0.501346667506086,0.349998854124898
24.2,0.35,0.501344268752253,0.349999036930634
24.3,0.35,0.501341909636394,0.349999207258332
24.4,0.35,0.501339598543586,0.34999936542027
24.5,0.35,0.501337342811021,0.349999511761679
24.6,0.35,0.501335148790161,0.349999646655806
24.7,0.35,0.501333021908044,0.349999770499325
24.8,0.35,0.501330966727522,0.349999883708049
24.9,0.35,0.50132898700618,0.349999986712964
25,0.35,0.501327085753819,0.350000079956552
25.1,0.35,0.501325265288286,0.350000163889419
25.2,0.35,0.50132352728955,0.350000238967189
25.3,0.35,0.50132187285192,0.350000305647678
25.4,0.35,0.501320302534284,0.350000364388326
25.5,0.35,0.501318816408319,0.350000415643867
25.6,0.35,0.50131741410463,0.350000459864249
25.7,0.35,0.501316094856726,0.350000497492766
25.8,0.35,0.501314857542889,0.350000528964405
25.9,0.35,0.501313700725849,0.350000554704401
26,0.35,0.501312622690316,0.350000575126969
26.1,0.35,0.501311621478346,0.350000590634221
26.2,0.35,0.501310694922613,0.350000601615248
26.3,0.35,0.501309840677557,0.350000608445354
26.4,0.35,0.501309056248501,0.350000611485437
26.5,0.35,0.501308339018736,0.350000611081503
26.6,0.35,0.501307686274675,0.350000607564301
26.7,0.35,0.501307095229089,0.350000601249074
26.8,0.35,0.501306563042506,0.350000592435413
26.9,0.35,0.50130608684285,0.350000581407205
27,0.35,0.501305663743363,0.350000568432666
27.1,0.35,0.501305290858891,0.350000553764457
27.2,0.35,0.501304965320621,0.350000537639861
27.3,0.35,0.501304684289308,0.35000052028103
27.4,0.35,0.501304444967106,0.35000050189528
27.5,0.35,0.501304244608044,0.350000482675442
27.6,0.35,0.501304080527234,0.350000462800244
27.7,0.35,0.501303950108901,0.350000442434739
27.8,0.35,0.501303850813269,0.350000421730759
27.9,0.35,0.501303780182412,0.350000400827391
28,0.35,0.501303735845123,0.350000379851476
28.1,0.35,0.501303715520862,0.350000358918128
28.2,0.35,0.50130371702287,0.350000338131254
28.3,0.35,0.501303738260497,0.350000317584089
28.4,0.35,0.501303777240819,0.350000297359734
