time,spir,snimac1,setpoint,vent
0,4,6.4306640625,7.5,6
0.0999999999999943,4,6.4111328125,7.5,6
0.199999999999989,4.2271484375,6.376953125,7.5,6
0.300000000000011,4.30513671875,6.4111328125,7.5,6
0.400000000000006,4.46873046875,6.4208984375,7.5,6
0.5,4.63052734375,6.4306640625,7.5,6
0.599999999999994,4.882421875,6.416015625,7.5,6
0.699999999999989,4.9716015625,6.4453125,7.5,6
0.800000000000011,5.29431640625,6.4111328125,7.5,6
0.900000000000006,5.366015625,6.4453125,7.5,6
1,5.5233203125,6.455078125,7.5,6
1.09999999999999,5.69720703125,6.4599609375,7.5,6
1.19999999999999,5.8701953125,6.46484375,7.5,6
1.30000000000001,6.04228515625,6.4697265625,7.5,6
1.40000000000001,6.47078125,6.40625,7.5,6
1.5,6.4882421875,6.455078125,7.5,6
1.59999999999999,6.58861328125,6.4794921875,7.5,6
1.69999999999999,6.8315234375,6.46484375,7.5,6
1.80000000000001,6.985234375,6.474609375,7.5,6
1.90000000000001,7.15552734375,6.4794921875,7.5,6
2,7.1411328125,6.533203125,7.5,6
2.09999999999999,7.3925390625,6.513671875,7.5,6
2.19999999999999,7.61078125,6.50390625,7.5,6
2.30000000000001,7.73892578125,6.5185546875,7.5,6
2.40000000000001,7.7541015625,6.5625,7.5,6
2.5,7.88984375,6.572265625,7.5,6
2.59999999999999,8.1340625,6.552734375,7.5,6
2.69999999999999,8.17970703125,6.5869140625,7.5,6
2.80000000000001,8.42123046875,6.5673828125,7.5,6
2.90000000000001,8.48255859375,6.5966796875,7.5,6
3,8.5936328125,6.611328125,7.5,6
3.09999999999999,8.646875,6.640625,7.5,6
3.19999999999999,8.878515625,6.62109375,7.5,6
3.30000000000001,8.96671875,6.640625,7.5,6
3.40000000000001,9.051328125,6.66015625,7.5,6
3.5,9.2426171875,6.650390625,7.5,6
3.59999999999999,9.21515625,6.69921875,7.5,6
3.69999999999999,9.3992578125,6.689453125,7.5,6
3.80000000000001,9.511640625,6.69921875,7.5,6
3.90000000000001,9.6222265625,6.708984375,7.5,6
4,9.63912109375,6.7431640625,7.5,6
4.09999999999999,9.70486328125,6.7626953125,7.5,6
4.19999999999999,9.80376953125,6.7724609375,7.5,6
4.30000000000001,9.86412109375,6.7919921875,7.5,6
4.40000000000001,9.95763671875,6.8017578125,7.5,6
4.5,10,6.81640625,7.5,6
4.59999999999999,10,6.826171875,7.5,6
4.69999999999999,10,6.845703125,7.5,6
4.80000000000001,10,6.8408203125,7.5,6
4.90000000000001,10,6.8701171875,7.5,6
5,10,6.85546875,7.5,6
5.09999999999999,10,6.8896484375,7.5,6
5.19999999999999,10,6.8896484375,7.5,6
5.30000000000001,10,6.8994140625,7.5,6
5.40000000000001,10,6.93359375,7.5,6
5.5,10,6.9482421875,7.5,6
5.59999999999999,10,6.9287109375,7.5,6
