Step,Kp,Ki,Omega_c
1,5.96872919217433,1.1677333900942,0.5
2,6.5517714296958,1.16722085001568,0.55
3,7.09872518998397,1.1258899405329,0.6
4,7.60838590596442,1.04243493498577,0.65
5,8.08035978308704,0.916448043144988,0.7
6,8.51493308912317,0.748277157283662,0.75
7,8.93699169536541,0.125130657750567,0.8
8,9.28049093743156,0.138061396749636,0.85
