time,spir_n,snimac1_n,snimac1_s_ls,snimac1_s_fmin
0,0,-0.0426296802780716,0,0
0.0999999999999943,0.5,-0.0540368007533253,-0.000381977745135201,-0.000206970890930992
0.200000000000017,0.5,-0.0459126712285789,0.00397726167218286,0.000959105969995046
0.300000000000011,0.5,-0.0654578125371659,0.00903642939800009,0.00314794607484955
0.400000000000006,0.5,-0.0670993080124195,0.0140213694354006,0.00547799010143995
0.5,0.5,-0.0443267409876732,0.0189310796977493,0.00781580073023556
0.599999999999994,0.5,-0.0687546947962601,0.023766689698656,0.0101412589026706
0.700000000000017,0.5,-0.0508649402715138,0.0285293177871005,0.0124514093743574
0.800000000000011,0.5,-0.0362303940801008,0.0332200654496231,0.0147458960950174
0.900000000000006,0.5,-0.0508927228886877,0.037840017548517,0.0170247560930515
1,0.5,-0.039513385030608,0.0423902425726863,0.0192880853169598
1.09999999999999,0.5,-0.024878838839195,0.0468717928847629,0.0215359880241833
1.20000000000002,0.5,-0.0167547093144487,0.0512857049644936,0.0237685691191711
1.30000000000001,0.5,-0.0362998506230356,0.0556329996484542,0.0259859329969867
1.40000000000001,0.5,-0.034686137764956,0.0599146823661456,0.0281881833722881
1.5,0.5,-0.0363276332402096,0.0641317433725264,0.0303754232575342
1.59999999999999,0.5,-0.0200654828821299,0.0682851579770365,0.0325477549637681
1.70000000000002,0.5,-0.0396106241907169,0.0723758867691633,0.0347052801047913
1.80000000000001,0.5,-0.0152104529993039,0.0764048758406046,0.0368480996018242
1.90000000000001,0.5,-0.00871392764122418,0.0803730570040773,0.0389763136882131
2,0.5,-0.0168658397831445,0.0842813480088247,0.041090021914116
2.09999999999999,0.5,-0.0315281685917315,0.0881306527528707,0.0431893231511596
2.20000000000002,0.5,-0.0136384140669851,0.0919218614920707,0.0452743155970636
2.30000000000001,0.5,-0.0250455345422388,0.0956558510460074,0.0473450967802343
2.40000000000001,0.5,0.0026098449825076,0.0993334850007788,0.0494017635643264
2.5,0.5,-0.0120524838260794,0.102955613908726,0.0514444121527741
2.59999999999999,0.5,0.00258206236533365,0.106523075485147,0.0534731380932913
2.70000000000002,0.5,0.0188442127234133,0.11003669480204,0.0554880362823404
2.80000000000001,0.5,-0.00070092858517364,0.113497284478924,0.0574892009695719
2.90000000000001,0.5,-0.000714819893760617,0.116905644870779,0.0594767257622326
3,0.5,0.0269405596309857,0.120262564253152,0.0614507036295445
3.09999999999999,0.5,0.0155334391557321,0.123568819004461,0.0634112269070534
3.20000000000002,0.5,0.0122643395138118,0.126825173785561,0.0653583873009478
3.30000000000001,0.5,0.00736763570522481,0.130032381716588,0.0672922758923492
3.40000000000001,0.5,0.0350230152299712,0.133191184551138,0.0692129831415718
3.5,0.5,0.0122226655880509,0.13630231284782,0.0711205988923547
3.59999999999999,0.5,0.0252296076127972,0.139366486139218,0.0730152123760637
3.70000000000002,0.5,0.0203329038042102,0.142384413098297,0.0748969122158657
3.80000000000001,0.5,0.0284570333289566,0.145356791702311,0.0767657864308741
3.90000000000001,0.5,0.0382087670203696,0.14828430939422,0.0786219224402659
4,0.5,0.0251740423784493,0.151167643241689,0.0804654070673708
4.09999999999999,0.5,0.0528294219031957,0.154007460093671,0.0822963265437328
4.20000000000002,0.5,0.0528155305946087,0.156804416734637,0.0841147665131434
4.30000000000001,0.5,0.0495464309526884,0.159559160036475,0.0859208120356481
4.40000000000001,0.5,0.0560429563107681,0.162272327108096,0.0877145475915248
4.5,0.5,0.0641670858355144,0.164944545442784,0.0894960570852357
4.59999999999999,0.5,0.0527599653602608,0.167576433063318,0.0912654238493522
4.70000000000002,0.5,0.0543736782183405,0.17016859866491,0.0930227306484526
4.80000000000001,0.5,0.0511045785764201,0.17272164175598,0.0947680596829935
4.90000000000001,0.5,0.0641115206011665,0.175236152796809,0.0965014925931554
5,0.5,0.0657252334592462,0.177712713336099,0.0982231104626607
5.09999999999999,0.5,0.0901254046506592,0.180151896145471,0.0999329938225672
5.20000000000002,0.5,0.0868563050087392,0.182554265351937,0.101631222655035
5.30000000000001,0.5,0.0819596012001519,0.184920376568366,0.103317876397066
5.40000000000001,0.5,0.103104564058232,0.187250777021985,0.104993033944224
5.5,0.5,0.0933250477496449,0.189546005680943,0.10665677365432
5.59999999999999,0.5,0.0916835522743913,0.191806593378959,0.108309173351081
5.70000000000002,0.5,0.098180077632471,0.194033062938092,0.109950310327789
5.80000000000001,0.5,0.093283373823884,0.196225929289659,0.111580261350896
5.90000000000001,0.5,0.107917920015297,0.198385699593327,0.113199102663617
6,0.5,0.0900003828733767,0.200512873354407,0.114806909989494
6.09999999999999,0.5,0.09486930406479,0.202607942539374,0.116403758535938
6.20000000000002,0.5,0.0981106210895364,0.204671391689656,0.11798972299775
6.30000000000001,0.5,0.124138396447616,0.20670369803369,0.119564877560611
6.40000000000001,0.5,0.111103671805696,0.208705331597296,0.121129295904556
6.5,0.5,0.117600197163775,0.210676755312386,0.122683051207417
6.59999999999999,0.5,0.119213910021855,0.212618425124025,0.124226216148248
6.70000000000002,0.5,0.104551581213268,0.214530790095886,0.125758862910724
6.80000000000001,0.5,0.112675710738015,0.2164142925141,0.127281063186517
6.90000000000001,0.5,0.120799840262761,0.218269367989558,0.128792888178652
7,0.5,0.127296365620841,0.220096445558645,0.130294408604834
7.09999999999999,0.5,0.115889245145587,0.221895947782478,0.131785694700759
7.20000000000002,0.5,0.127268583003667,0.223668290844626,0.133266816223396
7.30000000000001,0.5,0.125627087528413,0.225413884647369,0.134737842454254
7.40000000000001,0.5,0.135378821219826,0.227133132906497,0.13619884220262
7.5,0.5,0.154896179911239,0.22882643324468,0.13764988380878
7.59999999999999,0.5,0.149999476102652,0.230494177283428,0.13909103514721
7.70000000000002,0.5,0.151613188960732,0.232136750733667,0.14052236362976
7.80000000000001,0.5,0.140206068485478,0.233754533484944,0.141943936208799
7.90000000000001,0.5,0.138564573010224,0.235347899693284,0.143355819380351
8,0.5,0.148316306701637,0.236917217867729,0.144758079187204
8.09999999999999,0.5,0.154812832059717,0.238462850955559,0.146150781222003
8.20000000000002,0.5,0.141778107417797,0.239985156426239,0.14753399063031
8.30000000000001,0.5,0.15641265360921,0.241484486354093,0.148907772113659
8.40000000000001,0.5,0.17267480396729,0.242961187499725,0.150272189932581
8.5,0.5,0.169405704325369,0.244415601390226,0.151627307909606
8.59999999999999,0.5,0.156370979683449,0.245848064398151,0.152973189432253
8.70000000000002,0.5,0.166122713374862,0.247258907819325,0.154309897455991
8.80000000000001,0.5,0.151460384566275,0.248648457949454,0.155637494507189
8.90000000000001,0.5,0.172605347424355,0.250017036159597,0.156956042686033
9,0.5,0.157943018615768,0.251364958970488,0.158265603669441
9.09999999999999,0.5,0.144908293973847,0.252692538125743,0.159566238713939
9.20000000000002,0.5,0.17419127766526,0.254000080663955,0.16085800865853
9.30000000000001,0.5,0.17092217802334,0.255287888989709,0.16214097392754
9.40000000000001,0.5,0.164397870048086,0.256556260943518,0.163415194533446
9.5,0.5,0.172521999572833,0.257805489870709,0.164680730079678
9.59999999999999,0.5,0.187156545764246,0.259035864689267,0.165937639763413
9.70000000000002,0.5,0.172494216955659,0.260247669956653,0.167185982378341
9.80000000000001,0.5,0.193639179813739,0.261441185935617,0.168425816317414
9.90000000000001,0.5,0.172466434338485,0.262616688659017,0.16965719957558
10,0.5,0.177335355529898,0.263774449993659,0.170880189752494
10.1,0.5,0.178949068387978,0.26491473770317,0.172094844055214
10.2,0.5,0.188700802079391,0.266037815509932,0.173301219300876
10.3,0.5,0.174038473270804,0.26714394315607,0.17449937191935
10.4,0.5,0.169141769462217,0.268233376463525,0.175689357955884
10.5,0.5,0.200052357320296,0.269306367393222,0.17687123307372
10.6,0.5,0.190272841011709,0.270363164103339,0.178045052556701
10.7,0.5,0.190258949703122,0.271404011006706,0.179210871311859
10.8,0.5,0.188617454227869,0.272429148827326,0.180368743871979
10.9,0.5,0.182093146252615,0.273438814656053,0.181518724398151
11,0.5,0.169058421610695,0.274433242005424,0.182660866682305
11.1,0.5,0.185320571968774,0.275412660863664,0.183795224149727
11.2,0.5,0.185306680660188,0.276377297747881,0.184921849861558
11.3,0.5,0.167389143518267,0.27732737575645,0.186040796517272
11.4,0.5,0.185278898043014,0.278263114620612,0.187152116457149
11.5,0.5,0.195030631734427,0.279184730755294,0.188255861664716
11.6,0.5,0.19989955292584,0.280092437309159,0.189352083769181
11.7,0.5,0.211278890783919,0.280986444213903,0.190440834047851
11.8,0.5,0.191733749475332,0.281866958232809,0.191522163428526
11.9,0.5,0.193347462333412,0.282734183008563,0.192596122491884
12,0.5,0.186823154358158,0.283588319110354,0.193662761473846
12.1,0.5,0.167278013049571,0.284429564080264,0.194722130267926
12.2,0.5,0.196560996740984,0.285258112478949,0.195774278427565
12.3,0.5,0.196547105432398,0.286074155930641,0.196819255168449
12.4,0.5,0.191650401623811,0.286877883167464,0.19785710937081
12.5,0.5,0.20791255198189,0.287669480073084,0.198887889581715
12.6,0.5,0.203015848173303,0.288449129725701,0.199911644017335
12.7,0.5,0.207884769364716,0.289217012440388,0.200928420565198
12.8,0.5,0.193222440556129,0.289973305810795,0.201938266786436
12.9,0.5,0.186698132580876,0.290718184750225,0.202941229918002
13,0.5,0.178546220438956,0.291451821532084,0.203937356874884
13.1,0.5,0.206201599963702,0.292174385829723,0.204926694252298
13.2,0.5,0.207815312821782,0.292886044755683,0.20590928832787
13.3,0.5,0.189897775679861,0.293586962900344,0.206885185063797
13.4,0.5,0.224063571871274,0.294277302369988,0.207854430108999
13.5,0.5,0.188242388896021,0.294957222824292,0.208817068801252
13.6,0.5,0.2093873517541,0.295626881513256,0.209773146169316
13.7,0.5,0.194725022945513,0.296286433313567,0.21072270693503
13.8,0.5,0.209359569136926,0.296936030764422,0.211665795515413
13.9,0.5,0.210973281995006,0.297575824102803,0.212602456024739
14,0.5,0.209331786519752,0.29820596129823,0.213532732276599
14.1,0.5,0.206062686877832,0.298826588086974,0.214456667785951
14.2,0.5,0.204421191402579,0.29943784800577,0.215374305771157
14.3,0.5,0.199524487593992,0.300039882425012,0.216285689156003
14.4,0.5,0.194627783785405,0.300632830581443,0.217190860571709
14.5,0.5,0.222283163310151,0.301216829610368,0.218089862358919
14.6,0.5,0.205993230334897,0.301792014577359,0.218982736569686
14.7,0.5,0.222255380692977,0.3023585185095,0.219869524969436
14.8,0.5,0.196199822717723,0.302916472426152,0.220750269038924
14.9,0.5,0.21897238974247,0.303466005369251,0.221625009976172
15,0.5,0.218958498433883,0.304007244433156,0.222493788698397
15.1,0.5,0.217317002958629,0.304540314794044,0.223356645843926
15.2,0.5,0.207537486650042,0.305065339738856,0.224213621774096
15.3,0.5,0.212406407841455,0.305582440693813,0.225064756575142
15.4,0.5,0.210764912366201,0.306091737252501,0.225910090060071
15.5,0.5,0.207495812724281,0.306593347203526,0.226749661770528
15.6,0.5,0.227013171415694,0.307087386557759,0.227583510978639
15.7,0.5,0.197702405107107,0.307573969575166,0.228411676688856
15.8,0.5,0.21233695129852,0.308053208791234,0.229234197639775
