time,y13_data,y23_data,y16_data,y26_data,y19_data,y29_data,y3n_model,y3f_model,y6n_model,y6f_model,y9n_model,y9f_model
0,0,0,0,0,0,0,9.18319240095222e-17,0,1.0842021724855e-19,2.10768902331182e-16,-6.23416249179165e-17,-2.94794570698809e-16
0.1,-0.0203450520833333,-0.0105794270833333,-0.0154622395833333,-0.0187174479166667,-0.00325520833333333,-0.00162760416666667,0.00147836113218218,0.00108421657079545,0.00193950248842297,0.00145337133310454,0.00182957934862107,0.00128155663685784
0.2,-0.009765625,0.0301106770833333,-0.000813802083333333,0.0211588541666667,-0.0130208333333333,0.029296875,0.00962663291726144,0.00623401368776747,0.011620588022458,0.00802366527455118,0.011598916583542,0.00716837447903429
0.3,-0.0284830729166667,0.0260416666666667,-0.00162760416666667,0.04150390625,0.00651041666666667,0.0496419270833333,0.0183015484560191,0.0115689189563333,0.0216945941715942,0.0147514483408668,0.0218962274599959,0.0132187552607092
0.4,-0.01953125,0.04638671875,0.02197265625,0.0594075520833333,0.0130208333333333,0.06591796875,0.0269400599433228,0.0168666864818445,0.031655022755526,0.0213965610258749,0.0320927203119514,0.0192052531690408
0.5,-0.0048828125,0.0577799479166667,0.00895182291666667,0.0602213541666667,0.0284830729166667,0.0569661458333333,0.0354913846291716,0.0221150140886587,0.0414689238430535,0.0279485846721185,0.0421371020059176,0.0251170835072035
0.6,0.00406901041666667,0.0431315104166667,0.00895182291666667,0.0626627604166667,0.0236002604166667,0.0528971354166667,0.0439517569932156,0.0273136441205158,0.0511360925904393,0.0344082676594877,0.052027215585709,0.0309545896143686
0.7,0.00813802083333333,0.0309244791666667,0.00325520833333333,0.04150390625,0.0113932291666667,0.0423177083333333,0.0523217182029423,0.0324630059146007,0.0606585595307997,0.0407768843364557,0.0617650537237425,0.0367186756770291
0.8,-0.0113932291666667,0.0187174479166667,-0.00325520833333333,0.0390625,0.0179036458333333,0.0423177083333333,0.0606021953062455,0.0375635640258562,0.070038479310202,0.0470557172064791,0.0713529288938148,0.0424102635667792
0.9,0.00162760416666667,0.0325520833333333,0.009765625,0.05615234375,0.0309244791666667,0.0496419270833333,0.0687941413951359,0.0426157808610368,0.0792779850147719,0.0532460319641453,0.0807931477990269,0.0480302650542728
1,0.00406901041666667,0.0325520833333333,0.0349934895833333,0.0764973958333333,0.0455729166666667,0.0537109375,0.0768985026723695,0.0476201145737683,0.0883791785392886,0.0593490765223671,0.0900879841593653,0.0535795805191062
1.1,0.0203450520833333,0.0447591145833333,0.0236002604166667,0.0569661458333333,0.0423177083333333,0.0626627604166667,0.0849162155273203,0.052577018982885,0.0973441303651313,0.0653660812041681,0.099239676895102,0.0590590990202277
1.2,0.0146484375,0.0431315104166667,0.0325520833333333,0.0496419270833333,0.0309244791666667,0.0528971354166667,0.0928482063656985,0.0574869436065129,0.10617487998284,0.0712982589877952,0.108250430464799,0.0644696984345781
1.3,0.0048828125,0.0382486979166667,0.0252278645833333,0.0398763020833333,0.0309244791666667,0.05126953125,0.100695391691027,0.0623503337024289,0.114873436352737,0.0771468057511034,0.117122415379178,0.0698122455975404
1.4,-0.00651041666666667,0.0390625,0.0545247395833333,0.048828125,0.0431315104166667,0.0691731770833333,0.108458678208194,0.0671676303084155,0.123441778361724,0.0829129005126277,0.125857768722496,0.0750875964418059
1.5,0.01220703125,0.05859375,0.0545247395833333,0.0675455729166667,0.0569661458333333,0.0813802083333333,0.116138962927999,0.0719392702822556,0.131881855273458,0.088597705669263,0.1344585946672,0.0802965961345034
1.6,0.0431315104166667,0.0520833333333333,0.05859375,0.07080078125,0.0691731770833333,0.0732421875,0.123737133270783,0.0766656863413484,0.140195587171794,0.094202367230594,0.142926964980767,0.085440079212604
1.7,0.0349934895833333,0.0667317708333333,0.0496419270833333,0.0764973958333333,0.068359375,0.0846354166666667,0.131254067168962,0.0813473071019509,0.148384865397603,0.0997280150499212,0.151264919524758,0.0905188697166223
1.8,0.0382486979166667,0.05859375,0.06103515625,0.0577799479166667,0.0642903645833333,0.0764973958333333,0.138690633168465,0.0859845571180469,0.156451552979041,0.10517576305203,0.159474466746172,0.0955337813226371
1.9,0.0333658854166667,0.05126953125,0.0455729166666667,0.0439453125,0.0740559895833333,0.07568359375,0.146047690529097,0.0905778569198476,0.164397485055381,0.110546709457747,0.167557584161246,0.10048561747265
2,0.0472005208333333,0.0406901041666667,0.0699869791666667,0.0569661458333333,0.0862630208333333,0.09521484375,0.153326089323813,0.095127623051928,0.172224469294498,0.115841937005337,0.175516218831798,0.105375171503307
